Category,Quote,Tags
"life,happiness","Don't cry because it's over, smile because it happened.","cry,experience,happiness,joy,life,optimism,sadness,smile"
inspiration,Be yourself; everyone else is already taken.,"be-yourself,honesty,self"
"humor,philosophy,science",Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,"human-nature,humor,infinity,philosophy,science,stupid,universe"
"love,life,inspiration","You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.","dance,heaven,hurt,inspiration,life,love,sing"
love,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,"dream,love,reality,sleep"
"soul,books",A room without books is like a body without a soul.,"books,soul"
"humor,books","So many books, so little time.","books,time"
"life,humor","You only live once, but if you do it right, once is enough.","humor,life,live"
"inspiration,philosophy",Be the change that you wish to see in the world.,"action,change,inspiration,philosophy,wish"
"life,philosophy",In three words I can sum up everything I've learned about life: it goes on.,"life,philosophy,move"
truth,"If you tell the truth, you don't have to remember anything.","lies,lying,memory,truth"
"love,knowledge",A friend is someone who knows all about you and still loves you.,"friend,friendship,knowledge,love"
"inspiration,education,life",Live as if you were to die tomorrow. Learn as if you were to live forever.,"education,inspiration,learning,live,life"
"love,inspiration",Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"darkness,hate,inspiration,light,love,peace"
life,"To live is the rarest thing in the world. Most people exist, that is all.",life
"inspiration,philosophy","Without music, life would be a mistake.","inspiration,music,philosophy"
inspiration,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","be-yourself,inspiration,genius,self"
"life,inspiration",There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"inspiration,life,live,miracle"
"life,death",life is what happens to you while you're busy making other plans.,"fate,life,planning,plans"
"life,books","Good friends, good books, and a sleepy conscience: this is the ideal life.","books,contentment,friends,friendship,life"
"inspiration,hope","Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.","hope,inspiration,past,present,today,now"
"inspiration,life","We are all in the gutter, but some of us are looking at the stars.","inspiration,optimism,perception,pessimism,stars"
inspiration,"I have not failed. I've just found 10,000 ways that won't work.","failure,inspiration"
life,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.","life,navigation,journey"
love,"Love all, trust a few, do wrong to none.","love,trust"
love,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.","love,true"
happiness,For every minute you are angry you lose sixty seconds of happiness.,"happiness,angry"
love,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.","courage,love,strength"
"humor,writing",I love deadlines. I love the whooshing noise they make as they go by.,"deadlines,humor,humour,work,writing,time"
"inspiration,motivation",It is never too late to be what you might have been.,"inspiration,be-yourself"
"love,happiness",Love is that condition in which the happiness of another person is essential to your own.,"essential,happiness,love,person"
life,Sometimes the questions are complicated and the answers are simple.,"life,simple,question,answer,journey,mystery"
books,I have always imagined that Paradise will be a kind of library.,"books,library,paradise,heaven"
humor,All you need is love. But a little chocolate now and then doesn't hurt.,"chocolate,food,humor"
"life,inspiration",Everything you can imagine is real.,"art,imagination,inspiration,life,imagine,mind,think"
"life,death",I'm not afraid of death; I just don't want to be there when it happens.,"death,fear,life"
books,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","books,thought,be-yourself"
love,"Love is like the wind, you can't see it but you can feel it.","love,wind,feel"
love,"If you can make a woman laugh, you can make her do anything.","girls,love,woman,laugh"
"life,inspiration",life isn't about finding yourself. lifeis about creating yourself.,"inspiration,life,yourself,create,be-yourself"
love,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.","imperfect,love"
"life,motivation,inspiration","life is like riding a bicycle. To keep your balance, you must keep moving.","life,balance,bicycle,motivation,inspiration"
life,Some infinities are bigger than other infinities.,"infinity,life,forever"
books,There is no friend as loyal as a book.,"books,friends"
happiness,Time you enjoy wasting is not wasted time.,"happiness,procrastination,time"
inspiration,Do one thing every day that scares you.,"fear,inspiration,do,scare,task"
life,Things change. And friends leave. life doesn't stop for anybody.,"change,life,time"
"arts,books","Literature is the art of discovering something extraordinary about ordinary people, and saying with ordinary words something extraordinary.","Words,Literature,Ordinary"
success,"If everyone is moving forward together, then success takes care of itself.","Together,Care,Move,success,team,group"
hope,Hope is the last thing a person does before they are defeated.,"Last,Defeated,hope"
life,"life is a gift, given in trust - like a child.","Trust,Child,Gift,life"
"life,love",Where there is love there is life.,"Life,love"
humor,Humor can alter any situation and help us cope at the very instant we are laughing.,"Help,Situation,Cope,humor,laugh"
success,Success comes from knowing that you did your best to become the best that you are capable of becoming.,"Best,Knowledge,Capable,success"
"life,love",life in abundance comes only through great love.,"Love,Great,Abundance,life"
"life,love",life is the flower for which love is the honey.,"Life,Flower,Honey,love"
humor,The best way to make your audience laugh is to start laughing yourself.,"Best,Start,Laugh,humor"
success,The most important single ingredient in the formula of success is knowing how to get along with people.,"Knowledge,Single,Along,people,team,group,together"
"hope,motivation,positive",I always believe things are going to work out.,"optimism,positive"
love,Love is being stupid together.,"Together,Stupid,couple,love,people"
arts,Architecture is the art of how to waste space.,"Architecture,Space,history"
"life,success,inpiration,motivation",Seventy percent of success in life is showing up.,"Success,courage,life,motivation,inspiration"
"friendship,love","We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.","Friendship,Moment,friend,friends,life,together,people"
soul,The most powerful weapon on earth is the human soul on fire.,"Fire,Powerful,Soul,human"
"love,soul","Love is when he gives you a piece of your soul, that you never knew was missing.","Soul,Piece,couple,love"
life,The greatest use of a lifeis to spend it on something that will outlast it.,"Greatest,Spend,Outlast,life,use,help"
life,"lifeis a succession of moments, to live each one is to succeed.","Success,Moment,live,life,now,present"
love,Love is the flower you've got to let grow.,"Flower,Grow,love"
hope,There was never a night or a problem that could defeat sunrise or hope.,"Morning,Sun,Night,hope,positive,optimism"
success,Success is finding satisfaction in giving a little more than you take.,"Give,satisfaction,help"
arts,Minimal art went nowhere.,"Nowhere,Minimal,art"
life,"What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds.","Change,Mind,life"
hope,"Where there is no vision, there is no hope.","Leader,Vision,blind"
success,"Formula for success: rise early, work hard, strike oil.","Work,Early,rise,morning,success,hard"
life,lifemust be lived as play.,"Live,life,play"
life,We live in the world when we love it.,"Love,world,planet"
love,Love is a smoke made with the fume of sighs.,"Smoke,love"
humor,Our humor turns our anger into a fine art.,"Anger,humor,joke"
hope,Hope is the feeling we have that the feeling we have is not permanent.,"Feeling,pass,move,time"
life,Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,"Smile,Morning,Mirror,life,change,happy"
success,"Success is simple. Do what's right, the right way, at the right time.","Time,Simple,success,move"
success,The starting point of all achievements is desire.,"Desire,Point,achievement"
arts,A great artist can paint a great picture on a small canvas.,"Great,Artist,paint,canvas,painting"
"life,success",He who is not courageous enough to take risks will accomplish nothing in life.,"Courage,Risk,life,success"
"love,success","Don't aim for success if you want it; just do what you love and believe in, and it will come naturally.","inspiration,be-yourself,self"
love,"Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell.","love,fire,warm"
success,Success consists of going from failure to failure without loss of enthusiasm.,"Failure,Loss,success,enthusiasm"
"life,hope","Hold fast to dreams, for if dreams die, lifeis a broken-winged bird that cannot fly.","Dream,Bird,Fly"
success,"Success is nothing more than a few simple disciplines, practiced every day.","Simple,Few,Practice,discipline"
"inspiration,life,motivation",The bird is powered by its own life and by its motivation.,"inspiration,Bird,life,power"
arts,"Every artist dips his brush in his own soul, and paints his own nature into his pictures.","Nature,Artist,Soul,paint,painting,picture"
"life,death",The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"Death,Time,Fear,live,life,person"
arts,A picture is a poem without words.,"Picture,Words,Poem,scene"
love,"Love is so unconditional; love liberates; love is the reason why I do what I do, and so I think it is the greatest gift we have.","Greatest,Reason,Gift,love"
success,Success is how high you bounce when you hit bottom.,"Bottom,jump,High,optimism,positive,failure,success"
life,The biggest adventure you can take is to live the life of your dreams.,"Dream,Adventure,life,live"
"success,happiness",Happiness lies in the joy of achievement and the thrill of creative effort.,"Happiness,Creative,achievement,win"
"love,success,inspiration","Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","Love,Happiness,Success,be-yourself,self"
life,I decided to fly through the air and live in the sunlight and enjoy life as much as I could.,"Fly,Enjoy,Sun,life,live"
"love,god","Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","Forgive,Pray,love,god"
"inspiration,life,poetry",Let your lifelightly dance on the edges of Time like dew on the tip of a leaf.,"inspiration,Time"
arts,The sculptor produces the beautiful statue by chipping away such parts of the marble block as are not needed - it is a process of elimination.,"Beautiful,Process,Marble"
"life,love","I love life. There's so much to learn and see all the time, and nothing nicer for me than to wake up, and the sky is blue.","Life,Time,Sky"
arts,"One eye sees, the other feels.","Eye,Feels,Sees"
"life,success",I've failed over and over and over again in my lifeand that is why I succeed.,"Life,Succeed,Again"
life,"In school, you're taught a lesson and then given a test. In life, you're given a test that teaches you a lesson.","Test,Lesson,Given"
inspiration,"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.","inspiration-quotes,strength-and-courage"
"life,success",Success is to be measured not so much by the position that one has reached in lifeas by the obstacles which he has overcome.,"Life,Obstacles,Overcome"
arts,I am enough of an artist to draw freely upon my imagination.,"Artist,Draw,Freely"
love,There is no sincerer love than the love of food.,Food
life,Most of us have learned the hard way that there are very few things you can absolutely count on in life.,"Count,Learned,Absolutely.friend"
arts,I don't want lifeto imitate art. I want lifeto be art.,"Life,Imitate"
arts,Artists don't make objects. Artists make mythologies.,"Artists,Objects"
hope,"When one is giving service for the advancement of humanity, when one is working without money and without price, with no hope of earthly reward, there comes a real, genuine joy into the human heart.","Money,Service,Heart"
inspiration,"And, when you want something, all the universe conspires in helping you to achieve it.",inspiration
life,Nothing can add more power to your lifethan concentrating all your energies on a limited set of targets.,"Power,Add,Energies"
love,Surround yourself with people who provide you with support and love and remember to give back as much as you can in return.,"Support,Remember,Return"
arts,Art in Nature is rhythmic and has a horror of constraint.,"Nature,Horror,Constraint"
love,"The ultimate lesson all of us have to learn is unconditional love, which includes not only others but ourselves as well.","Learning,Learn"
success,"The Nationals tried hard to recover the lost ground. The final result, however, was the success of the Forest Citys by a score of 29 to 23 in a nine innings game, twice interrupted by rain.","Rain,Game,Lost"
"life,love","Music is love, love is music, music is life, and I love my life. Thank you and good night.","Life,Music,Good"
hope,To not have any hope is where things start to get really bleak. Things are possible. The impossible can be possible.,"Start,Impossible,Possible"
love,"Femininity is not just lipstick, stylish hairdos, and trendy clothes. It is the divine adornment of humanity. It finds expression in your qualities of your capacity to love, your spirituality, delicacy, radiance, sensitivity, creativity, charm, graciousness, gentleness, dignity, and quiet strength.","Strength,Creativity"
arts,Art is science made clear.,"Science,Clear"
success,"Success has a simple formula: do your best, and people may like it.","Best,Simple,Formula"
love,If you have only one smile in you give it to the people you love.,"""ValentinesDay"""
success,Success - keeping your mind awake and your desire asleep.,"Desire,Awake,Keeping"
hope,All human wisdom is summed up in two words; wait and hope.,"Wisdom,Words,Wait"
arts,Photography is more than a medium for factual communication of ideas. It is a creative art.,"Communication,Ideas"
success,Success is sweet and sweeter if long delayed and gotten through many struggles and defeats.,"Sweet,Struggles,Gotten"
arts,Sculpture is the art of the intelligence.,Sculpture
"life,death",The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,"death,life"
life,Our entire life- consists ultimately in accepting ourselves as we are.,"Accepting,Ourselves,Entire"
"inspiration,love",Love the moment and the energy of that moment will spread beyond all boundaries.,inspiration
life,Only a lifelived for others is a lifeworthwhile.,"Others,Worthwhile,Lived"
life,Remember when life's path is steep to keep your mind even.,"Path,Remember,Steep"
love,"Love is about mutual respect, apart from attraction.","Respect,Attraction,Mutual"
arts,Patience is the art of concealing your impatience.,"Patience,Impatience"
hope,"The work goes on, the cause endures, the hope still lives and the dreams shall never die.","Work,Dreams,Die"
life,"With the past, I have nothing to do; nor with the future. I live now.","Future,Past,Nor"
arts,"I am not a great cook, I am not a great artist, but I love art, and I love food, so I am the perfect traveller.","Travel,Love,Food"
success,I honestly think it is better to be a failure at something you love than to be a success at something you hate.,"Love,Failure,Hate"
hope,Never deprive someone of hope; it might be all they have.,"Deprive,Might"
love,"Mother's love is peace. It need not be acquired, it need not be deserved.","""MothersDay"",Peace,Mother"
arts,I don't think about art when I'm working. I try to think about life.,Life
hope,Hope is the word which God has written on the brow of every man.,"God,Word,"
life,Don't let lifediscourage you; everyone who got where he is had to begin where he was.,"Begin,Discourage"
humor,Humor is my default mode.,"Default,Mode"
inspiration,"A person's a person, no matter how small.",inspiration
hope,Hope is a risk that must be run.,"Risk,Run"
life,Everything in lifeis luck.,Luck
humor,President Ford used humor a great deal.,"Great,President,Deal"
hope,Hope is the only bee that makes honey without flowers.,"Bee,Flowers,Honey"
love,There is a kind of serenity in love which is almost a paradise.,"Paradise,,Almost"
success,"The measure of success is not whether you have a tough problem to deal with, but whether it is the same problem you had last year.","Problem,Measure,Tough"
