,Category,Quote,Tags
0,"life,happiness","Don't cry because it's over, smile because it happened.","['attributed-no-source', 'cry', 'crying', 'experience', 'happiness', 'joy', 'life', 'misattributed-dr-seuss', 'optimism', 'sadness', 'smile', 'smiling ']"
1,"love,life,truth","I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.","['attributed-no-source', 'best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst ']"
2,inspiration,Be yourself; everyone else is already taken.,"['attributed-no-source', 'be-yourself', 'honesty', 'inspirational', 'misattributed-oscar-wilde ']"
3,"humor,philosophy,science",Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe ']"
4,"love,life,inspiration","You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.","['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing ']"
5,love,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,"['attributed-no-source', 'dreams', 'love', 'reality', 'sleep ']"
6,"soul,books",A room without books is like a body without a soul.,"['attributed-no-source', 'books', 'simile', 'soul ']"
7,"humor,books","So many books, so little time.","['books', 'humor ']"
8,"life,humor","You only live once, but if you do it right, once is enough.","['humor', 'life ']"
9,"inspiration,philosophy",Be the change that you wish to see in the world.,"['action', 'change', 'inspirational', 'philosophy', 'wish ']"
10,life,In three words I can sum up everything I've learned about life: it goes on.,['life ']
11,"inspiration,wisdom",No one can make you feel inferior without your consent.,"['confidence', 'inspirational', 'wisdom ']"
12,truth,"If you tell the truth, you don't have to remember anything.","['lies', 'lying', 'memory', 'truth ']"
13,"love,knowledge",A friend is someone who knows all about you and still loves you.,"['friend', 'friendship', 'knowledge', 'love ']"
14,"inspiration,education",Live as if you were to die tomorrow. Learn as if you were to live forever.,"['carpe-diem', 'education', 'inspirational', 'learning ']"
15,"love,inspiration",Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace ']"
16,life,"To live is the rarest thing in the world. Most people exist, that is all.",['life ']
17,"inspiration,philosophy","Without music, life would be a mistake.","['inspirational', 'music', 'philosophy ']"
18,"life,humor","Insanity is doing the same thing, over and over again, but expecting different results.","['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein ']"
19,"love,inspiration",We accept the love we think we deserve.,"['inspirational', 'love ']"
