0,1,2
arts,"Art, like morality, consists in drawing the line somewhere.","['Line', 'Drawing', 'Morality']"
arts,Life beats down and crushes the soul and art reminds you that you have one.,"['Life', 'Soul', 'Beats']"
arts,Art is the concrete representation of our most subtle feelings.,"['Feelings', 'Concrete', 'Subtle']"
arts,"I do not want art for a few any more than education for a few, or freedom for a few.","['Education', 'Freedom']"
arts,"Summer is a great time to visit art museums, which offer the refreshing rinse of swimming pools - only instead of cool water, you immerse yourself in art.","['Time', 'Great', 'Cool']"
arts,"Without tradition, art is a flock of sheep without a shepherd. Without innovation, it is a corpse.","['Tradition', 'Innovation', 'Sheep']"
arts,"Art has to move you and design does not, unless it's a good design for a bus.","['Good', 'Design', 'Bus']"
arts,What art offers is space - a certain breathing room for the spirit.,"['Space', 'Breathing', 'Spirit']"
arts,All art is autobiographical. The pearl is the oyster's autobiography.,"['Oyster', 'Pearl']"
arts,"Art requires philosophy, just as philosophy requires art. Otherwise, what would become of beauty?","['Beauty', 'Philosophy']"
arts,"Without art, the crudeness of reality would make the world unbearable.","['Reality', 'Unbearable']"
arts,An intellectual says a simple thing in a hard way. An artist says a hard thing in a simple way.,"['Artist', 'Simple', 'Says']"
arts,I don't want to be interesting. I want to be good.,['Good']
arts,"It is not in life, but in art that self-fulfillment is to be found.","['Life', 'Found']"
arts,"I think of art, at its most significant, as a DEW line, a Distant Early Warning system that can always be relied on to tell the old culture what is beginning to happen to it.","['Culture', 'Beginning', 'Happen']"
arts,"If you go back to the Greeks and Romans, they talk about all three - wine, food, and art - as a way of enhancing life.","['Life', 'Food', 'Wine']"
"arts,life",Life is the art of drawing sufficient conclusions from insufficient premises.,"['Art', 'Drawing', 'Premises']"
arts,"The art of war is of vital importance to the state. It is a matter of life and death, a road either to safety or to ruin. Hence it is a subject of inquiry which can on no account be neglected.","['Life', 'Death', 'War']"
arts,There is no philosophy without the art of ignoring objections.,"['Philosophy', 'Ignoring']"
"arts,life","Life is not an exact science, it is an art.","['Art', 'Science', 'Exact']"
arts,Geometry is moribund. I want a lilt and joy to art.,"['Joy', 'Geometry']"
arts,"The recognition of the art that informs all pure science need not mean the abandonment for it of all present art, rather it will mean the completion of the transformation of art that has already begun.","['Science', 'Present', 'Mean']"
