0,1,2
"life,inspiration,books","Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.","['books', 'inspirational', 'life', 'reading ']"
"wisdom,books","In a good bookroom you feel in some mysterious way that you are absorbing the wisdom contained in all the books through your skin, without even opening them.","['bookroom', 'books', 'libraries', 'wisdom ']"
books,"Some books should be tasted, some devoured, but only a few should be chewed and digested thoroughly.","['books', 'reading ']"
books,"Sleep is good, he said, and books are better.","['books', 'reading ']"
books,You get a little moody sometimes but I think that's because you like to read. People that like to read are always a little fucked up.,"['books', 'reading ']"
books,"When I have a little money, I buy books; and if I have any left, I buy food and clothes.",['books ']
books,Books so special and rare and yours that advertising your affection feels like a betrayal.,['books ']
books,"Books are the perfect entertainment: no commercials, no batteries, hours of enjoyment for each dollar spent. What I wonder is why everybody doesn't carry a book around for those inevitable dead spots in life.",['books ']
books,Make it a rule never to give a child a book you would not read yourself.,"['books', 'children ']"
"humor,books",Where is human nature so weak as in the bookstore?,"['books', 'humor ']"
"humor,books","There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.","['books', 'humor ']"
books,I cannot live without books.,['books ']
"education,books",The world is a book and those who do not travel read only one page.,"['allegory', 'books', 'broad-mindedness', 'classic', 'education', 'imagery', 'travel', 'world ']"
"humor,books","So, please, oh please, we beg, we pray, go throw your TV set away, and in its place you can install, a lovely bookcase on the wall.","['books', 'humor', 'television ']"
books,Books may well be the only true magic.,['books ']
books,"Many people, myself among them, feel better at the mere sight of a book.","['books', 'reading ']"
"wisdom,books",Think before you speak. Read before you think.,"['advice-for-daily-living', 'books', 'reader', 'reading', 'speaking', 'thinking', 'wisdom ']"
books,There are worse crimes than burning books. One of them is not reading them.,"['books', 'censorship', 'illiteracy', 'reading ']"
books,Good books don't give up all their secrets at once.,['books ']
books,"Reading was my escape and my comfort, my consolation, my stimulant of choice: reading for the pure pleasure of it, for the beautiful stillness that surrounds you when you hear an author's words reverberating in your head.","['books', 'reading ']"
books,That's the thing about books. They let you travel without moving your feet.,['books ']
books,"Books are my friends, my companions. They make me laugh and cry and find meaning in life.","['books', 'christopher-paolini', 'eragon', 'good-reads ']"
"writing,books","Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.","['books', 'morality', 'reading', 'writing ']"
"truth,books","Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.","['books', 'truth ']"
books,"She is too fond of books, and it has turned her brain.",['books ']
books,"In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.","['books', 'reading ']"
books,"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.",['books ']
