0,1,2
"life,faith","All the world is made of faith, and trust, and pixie dust.","['faith', 'life', 'pixie-dust', 'trust ']"
"truth,faith","I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?","['beatles', 'dragons', 'dreamers', 'dreaming', 'dreams', 'fairies', 'faith', 'mythology', 'nightmares', 'reality', 'truth ']"
faith,Faithless is he that says farewell when the road darkens.,['faith ']
"love,faith","I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.","['faith', 'friends', 'friendship', 'love ']"
"humor,faith",I have great faith in fools - self-confidence my friends will call it.,"['faith', 'fool', 'humor', 'self-confidence', 'self-irony ']"
"love,faith,god,hope","And now these three remain: faith, hope and love. But the greatest of these is love.","['faith', 'god', 'hope', 'love ']"
"wisdom,faith,god","God will not look you over for medals, degrees or diplomas but for scars.","['faith', 'god', 'wisdom ']"
"faith,inspiration","And still, after all this time,The sun never says to the earth,""You owe Me.""Look what happens withA love like that,It lights the Whole Sky.","['faith', 'inspiration ']"
"faith,god",Never be afraid to trust an unknown future to a known God.,"['faith', 'future', 'god', 'trust ']"
faith,"Sometimes beautiful things come into our lives out of nowhere. We can't always understand them, but we have to trust in them. I know you want to question everything, but sometimes it pays to just have a little faith.","['beautiful', 'faith ']"
"faith,god","The function of prayer is not to influence God, but rather to change the nature of the one who prays.","['faith', 'god', 'prayer ']"
faith,Faith is not the belief that God will do what you want. It is the belief that God will do what is right.,['faith ']
faith,"You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.","['faith', 'humanity', 'ocean ']"
"faith,religion",All I have seen teaches me to trust the Creator for all I have not seen.,"['belief', 'experience', 'faith', 'judging-from-experience', 'religion', 'unseen ']"
"love,truth,faith,romance","I'm about to make a wild, extreme and severe relationship rule: the word busy is a load of crap and is most often used by assholes. The word ""busy""is the relationship Weapon of Mass Destruction. It seems like a good excuse, but in fact in every silo you uncover, all you're going to find is a man who didn't care enough to call. Remember men are never to busy to get what they want.","['behrendt', 'call', 'dating', 'faith', 'greg', 'he-s-not-just-into-you', 'love', 'marriage', 'romance', 'true', 'true-love', 'truth ']"
faith,"None of us knows what might happen even the next minute, yet still we go forward. Because we trust. Because we have Faith.","['faith', 'trust ']"
faith,Do not be afraid; our fateCannot be taken from us; it is a gift.,"['faith', 'fate', 'fear ']"
"love,inspiration,faith,god",Sometimes God allows what he hates to accomplish what he loves.,"['faith', 'god', 'inspirational', 'love ']"
"faith,god",I talk to God but the sky is empty.,"['doubt', 'faith', 'god', 'prayer ']"
"inspiration,faith","The reason birds can fly and we can't is simply because they have perfect faith, for to have faith is to have wings.","['birds', 'faith', 'flying', 'inspirational', 'profound', 'wings ']"
faith,"I know now, Lord, why you utter no answer. You are yourself the answer. Before your face questions die away. What other answer would suffice?","['faith', 'unfathomable ']"
"inspiration,wisdom,faith,death","Death is no more than passing from one room into another. But there's a difference for me, you know. Because in that other room I shall be able to see.","['blindness', 'death', 'faith', 'inspirational', 'wisdom ']"
"faith,hope","I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.","['faith', 'hope', 'optimism ']"
faith,A casual stroll through the lunatic asylum shows that faith does not prove anything.,"['belief', 'delusions', 'faith', 'insanity ']"
"inspiration,faith","There's so much to be grateful for, words are poor things.","['faith', 'inspirational ']"
"inspiration,faith",Faith is love taking the form of aspiration.,"['Love', 'Faith', 'Aspiration']"
"love,faith","Believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.","['faith', 'love', 'strength ']"
"love,faith","What was love, really? Flowers, chocolate, and poetry? Or was it something else? Was it being able to finish someone's jokes? Was it having absolute faith that someone was there at your back? Was it knowing someone so well that they instantly understood why you did the things you did—and shared those same beliefs?","['faith', 'love ']"
faith,"You can never really know someone completely. That’s why it’s the most terrifying thing in the world, really—taking someone on faith, hoping they’ll take you on faith too. It’s such a precarious balance, It’s a wonder we do it at all. And yet..","['faith', 'people ']"
faith,I dont think that we're meant to understand it all the time. I think that sometimes we just have to have faith.,"['faith', 'understand ']"
faith,"In this hour, I do not believe that any darkness will endure.","['cheerfulness', 'faith', 'faramir', 'optimism ']"
faith,Doubt everything. Find your own light.,"['beliefs', 'doubt', 'faith ']"
faith,"This is what the past is for! Every experience God gives us, every person He puts in our lives is the perfect preparation for the future that only He can see.","['faith', 'inspirtational ']"
"inspiration,faith",Belief creates the actual fact.,"['Belief', 'Fact', 'Actual']"
"faith,science",Extraordinary claims require extraordinary evidence.,"['evidence', 'faith', 'science', 'skepticism ']"
"love,faith","Are you upset little friend? Have you been lying awake worrying? Well, don't worry...I'm here. The flood waters will recede, the famine will end, the sun will shine tomorrow, and I will always be here to take care of you.","['faith', 'friendship', 'loneliness', 'love ']"
faith,"Your children are the greatest gift God will give to you, and their souls the heaviest responsibility He will place in your hands. Take time with them, teach them to have faith in God. Be a person in whom they can have faith. When you are old, nothing else you've done will have mattered as much.","['children', 'faith', 'family', 'parenting ']"
"faith,relationship,purpose","There are no coincidences in life. What person that wandered in and out of your life was there for some purpose, even if they caused you harm. Sometimes, it doesn’t make sense the short periods of time we get with people, or the outcomes from their choices. However, if you turn it over to God he promises that you will see the big picture in the hereafter. Nothing is too small to be a mistake.","['abused', 'acceptance', 'acquaintances', 'beginnings', 'chance', 'children', 'church-members', 'cruelty', 'destinations', 'destiny', 'divorce', 'don-t-give-up', 'experience', 'experiences', 'faith', 'family', 'fate', 'friends', 'god-s-plan', 'grief', 'hold-on', 'hurt', 'ignored', 'journeys', 'life-lessons', 'loss-of-faith', 'loss-of-love', 'luck', 'marriage', 'meaning', 'meaning-of-life', 'men', 'never-give-up', 'no-coincidences', 'pain', 'purpose', 'random', 'rejection', 'relationships', 'sorrow', 'spouse', 'starting-over', 'strangers', 'timing', 'understanding', 'unrequited-love', 'women ']"
"love,faith",Love meant jumping off a cliff and trusting that a certain person would be there to catch you at the bottom.,"['faith', 'love', 'trust ']"
"philosophy,faith,religion",belief is the death of intelligence.,"['atheism', 'belief', 'faith', 'intelligence', 'metaphysics', 'philosophy', 'religion ']"
"faith,hope","You do not need to know precisely what is happening, or exactly where it is all going. What you need is to recognize the possibilities and challenges offered by the present moment, and to embrace them with courage, faith and hope.","['courage', 'faith', 'hope', 'possibility ']"
"love,faith,romance","You picked a lemon, throw it away lemonade is overrated. Freaks should remain at the circus, not in your apartment. You already have one asshole. You don’t need another. Make a space in your life for the glorious things you deserve. Have faith.","['busy', 'call', 'dating', 'dating-advice', 'faith', 'guys', 'love', 'romance ']"
faith,"Faith is about doing. You are how you act, not just how you believe.","['action', 'belief', 'faith ']"
"love,inspiration,faith,hope",To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.,"['faith', 'forgiveness', 'hope', 'inspirational', 'love ']"
"life,faith",Follow your bliss and the universe will open doors for you where there were only walls.,"['action', 'belief', 'faith', 'follow-your-bliss', 'life ']"
faith,I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.,"['faith', 'humility', 'prayer', 'surrender ']"
faith,Some things have to be believed to be seen.,"['belief', 'faith ']"
faith,"Faith is walking face-first and full-speed into the dark. If we truly knew all the answers in advance as to the meaning of life and the nature of God and the destiny of our souls, our belief would not be a leap of faith and it would not be a courageous act of humanity; it would just be... a prudent insurance policy.",['faith ']
"love,faith",The Simple PathSilence is PrayerPrayer is FaithFaith is LoveLove is ServiceThe Fruit of Service is Peace,"['faith', 'love', 'mother', 'path', 'peace', 'prayer', 'service', 'simple', 'teresa ']"
faith,"When you get to the end of all the light you know and it's time to step into the darkness of the unknown, faith is knowing that one of two things shall happen: either you will be given something solid to stand on, or you will be taught how to fly.","['faith', 'light ']"
"inspiration,faith,religion","We are saved by faith alone, but the faith that saves is never alone.","['christianity', 'faith', 'inspirational', 'religion ']"
faith,"If we can just let go and trust that things will work out they way they're supposed to, without trying to control the outcome, then we can begin to enjoy the moment more fully. The joy of the freedom it brings becomes more pleasurable than the experience itself.","['experience', 'faith', 'joy', 'release', 'trust ']"
"love,faith",Work without love is slavery.,"['faith', 'love', 'work ']"
"faith,god","The moment God is figured out with nice neat lines and definitions, we are no longer dealing with God.","['christian', 'faith', 'god', 'jesus', 'spirituality ']"
faith,"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.","['faith', 'freedom', 'trust ']"
"life,love,inspiration,faith,hope,romance","To be rejected by someone doesn't mean you should also reject yourself or that you should think of yourself as a lesser person. It doesn't mean that nobody will ever love you anymore. Remember that only ONE person has rejected you at the moment, and it only hurt so much because to you, that person's opinion symbolized the opinion of the whole world, of God.","['breakup', 'broken', 'broken-heart', 'broken-hearted', 'broken-hearted-quotes', 'dating', 'faith', 'healing', 'heartache', 'heartbreak', 'heartbroken', 'hope', 'hurt', 'hurt-feelings', 'hurting', 'hurting-heart', 'inspirational', 'life', 'life-lessons', 'love', 'romance ']"
faith,"No, I would not want to live in a world without dragons, as I would not want to live in a world without magic, for that is a world without mystery, and that is a world without faith.","['dragon', 'faith', 'magic', 'mystery', 'world ']"
"life,faith,religion","You were made by God and for God and until you understand that, life will never make sense.","['faith', 'life', 'religion ']"
"inspiration,faith","Believe there is a great power silently working all things for good, behave yourself and never mind the rest.","['christian-behavior', 'faith', 'inspirational ']"
faith,I believe in intuitions and inspirations...I sometimes FEEL that I am right. I do not KNOW that I am.,"['certainty', 'faith', 'intuition ']"
"truth,faith","Reputation is what others think of us; character is what God knows of us. When you have spent what feels like eternity trying to repair a few moments of time that destroyed the view others once had of you then you must ask yourself if you have the problem or is it really them? God doesn’t make us try so hard, only enemies do.","['adversity', 'battles', 'blamers', 'character', 'choices', 'confidence', 'conflict', 'enemies', 'faith', 'fights', 'forgiveness', 'gossip', 'gossipers', 'insecure-women', 'insecurity', 'integrity', 'jealous-women', 'judgement', 'judgers', 'piety', 'proactive', 'reactive', 'reputation', 'reputation-repair', 'revenge', 'rumors', 'seeking-revenge', 'self-confidence', 'self-esteem', 'self-reflection', 'self-righteousness', 'self-worth', 'truth', 'vengance', 'walk-away ']"
faith,"Faith ― acceptance of which we imagine to be true, that which we cannot prove.",['faith ']
"wisdom,faith","As a well spent day brings happy sleep, so life well used brings happy death.","['faith', 'wisdom ']"
"faith,science","Faith is universal. Our specific methods for understanding it are arbitrary. Some of us pray to Jesus, some of us go to Mecca, some of us study subatomic particles. In the end we are all just searching for truth, that which is greater than ourselves.","['faith', 'science ']"
faith,Faith consists in believing what reason cannot.,"['faith', 'reason ']"
"faith,inspiration","Why must people kneel down to pray? If I really wanted to pray I’ll tell you what I'd do. I'd go out into a great big field all alone or in the deep, deep woods and I'd look up into the sky—up—up—up—into that lovely blue sky that looks as if there was no end to its blueness. And then I'd just feel a prayer.","['anne-of-green-gables', 'faith', 'inspiration', 'prayer ']"
"inspiration,faith,hope","No. Don't give up hope just yet. It's the last thing to go. When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.","['faith', 'hope', 'inspirational', 'never-give-up ']"
"faith,knowledge","You can't know, you can only believe - or not.","['faith', 'knowledge ']"
"inspiration,faith",Faith is the bird that feels the light and sings when the dawn is still dark.,"['aspiration', 'assurance', 'faith', 'inspirational ']"
faith,"When you are in troubled and worried and sick at heartAnd your plans are upset and your world falls apart,Remember God's ready and waiting to shareThe burden you find much to heavy to bear--So with faith, ""Let Go and Let GOD""lead your wayInto a brighter and less troubled day",['faith ']
"faith,religion,inspiration",Doubt isn't the opposite of faith; it is an element of faith.,"['doubt', 'faith', 'inspiration', 'religion ']"
"love,happiness,faith,hope,positive","Dance. Smile. Giggle. Marvel. TRUST. HOPE. LOVE. WISH. BELIEVE. Most of all, enjoy every moment of the journey, and appreciate where you are at this moment instead of always focusing on how far you have to go.","['appreciation', 'attitude', 'believe', 'counting-your-blessings', 'dance', 'dancing', 'faith', 'faith-in-yourself', 'gratitude', 'happiness', 'happy-life', 'hope', 'journey-of-life', 'live-in-the-moment', 'living-a-happy-life', 'living-life-to-the-fullest', 'love', 'positive-thinking', 'seizing-the-day', 'smile', 'the-here-and-now', 'the-present', 'the-single-woman', 'trust', 'wish', 'your-journey ']"
"life,wisdom,faith,hope,quotes,inspiration,success,positive,books","If you have a dream, don’t just sit there. Gather courage to believe that you can succeed and leave no stone unturned to make it a reality.","['attitude', 'authors', 'books', 'coaching', 'connect', 'counseling', 'courage', 'dare', 'daring', 'determination', 'dreams', 'faith', 'famous', 'goals', 'hope', 'idea', 'inspiration', 'inspire', 'judge', 'leadership', 'life', 'motivation', 'motivator', 'never-give-up', 'passion', 'positive-thinking', 'promo', 'publishing', 'quotes', 'self-confidence', 'self-esteem', 'success', 'successful', 'triumph', 'victory', 'willpower', 'wisdom', 'words', 'you-can-do-it ']"
faith,"The Lord works from the inside out. The world works from the outside in. The world would take people out of the slums. Christ would take the slums out of people, and then they would take themselves out of the slums.The world would mold men by changing their environment. Christ changes men, who then change their environment. The world would shape human behavior, but Christ can change human nature.","['christ', 'faith', 'self-improvement ']"
"wisdom,faith",My soul is in the sky.,"['faith', 'literature', 'wisdom ']"
"love,faith",Dogs have given us their absolute all. We are the center of their universe. We are the focus of their love and faith and trust. They serve us in return for scraps. It is without a doubt the best deal man has ever made.,"['dogs', 'faith', 'love ']"
"love,faith,god",Define yourself radically as one beloved by God. This is the true self. Every other identity is illusion.,"['beloved', 'faith', 'god', 'identity', 'love', 'self ']"
"life,love,inspiration,faith,hope,romance","Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!","['breakup', 'broken', 'broken-heart', 'broken-hearted', 'broken-hearted-quotes', 'dating', 'faith', 'healing', 'heartache', 'heartbreak', 'heartbroken', 'hope', 'hurt', 'hurt-feelings', 'hurting', 'hurting-heart', 'inspirational', 'life', 'life-lessons', 'love', 'romance ']"
faith,"There will always be someone willing to hurt you, put you down, gossip about you, belittle your accomplishments and judge your soul. It is a fact that we all must face. However, if you realize that God is a best friend that stands beside you when others cast stones you will never be afraid, never feel worthless and never feel alone.","['blessed', 'blown-off', 'confidence', 'cruel-people', 'cruelty', 'faith', 'fear', 'god-s-love', 'gossiped-about', 'hang-on', 'hurt', 'ignored', 'insecurity', 'jealousy', 'judgement', 'let-go', 'low-self-esteem', 'mean-people', 'move-on', 'name-calling', 'rejected', 'rumors', 'self-esteem', 'self-worth ']"
"love,life,faith,relationship,religion,writing,books","There comes a time in your life when you have to choose to turn the page, write another book or simply close it.","['beliefs', 'books', 'boyfriend', 'choices', 'faith', 'family', 'friendships', 'girlfriend', 'hang-ups', 'in-love', 'life', 'love', 'marriage', 'memories', 'moving-on', 'nostalgia', 'obsessions', 'peace', 'relationships', 'religion', 'sister-in-laws', 'sisters', 'spouse', 'unrequited-love', 'wife', 'writing ']"
"love,inspiration,faith","God turns you from one feeling to another and teaches by means of opposites so that you will have two wings to fly, not one","['confusion', 'faith', 'inspirational', 'love ']"
"faith,god",[God] will not be used as a convenience. Men or nations who think they can revive the Faith in order to make a good society might just as well think they can use the stairs of heaven as a shortcut to the nearest chemist's shop.,"['faith', 'god', 'society ']"
faith,I know of no society in human history that ever suffered because its people became too desirous of evidence in support of their core beliefs.,"['faith', 'skepticism ']"
"love,faith","Someday, after mastering the winds, the waves, the tides and gravity, we shall harness for God the energies of love, and then, for a second time in the history of the world, man will have discovered fire.","['faith', 'love', 'peace ']"
"faith,god","When God is going to do something wonderful, He or She always starts with a hardship; when God is going to do something amazing, He or She starts with an impossibility.","['faith', 'god ']"
"faith,inspiration","This is my living faith, an active faith, a faith of verbs: to question, explore, experiment, experience, walk, run, dance, play, eat, love, learn, dare, taste, touch, smell, listen, speak, write, read, draw, provoke, emote, scream, sin, repent, cry, kneel, pray, bow, rise, stand, look, laugh, cajole, create, confront, confound, walk back, walk forward, circle, hide, and seek.","['belief', 'faith', 'inspiration ']"
faith,"When you walk to the edge of all the light you have and take that first step into the darkness of the unknown, you must believe that one of two things will happen. There will be something solid for you to stand upon or you will be taught to fly.","['darkness', 'faith', 'risk', 'unknown ']"
faith,Faith does not eliminate questions. But faith knows where to take them.,"['christian-living', 'faith ']"
"life,faith,hope","Never lose faith in yourself, and never lose hope; remember, even when this world throws its worst and then turns its back, there is still always hope.","['faith', 'hope', 'life ']"
"love,life,wisdom,truth,faith,relationship","To become one who believes two become one, you need love in your life.","['belief', 'faith', 'life', 'love', 'people', 'relationships', 'truth', 'wisdom', 'wise', 'word-junkies ']"
faith,"Because you believed I was capable of behaving decently, I did.","['behavior', 'faith', 'trust ']"
"faith,positive","Sometimes when you lose your way, you find YOURSELF.","['bigger-picture', 'destination', 'destiny', 'faith', 'faith-in-yourself', 'find-yourself', 'finding-yourself', 'getting-lost', 'greater-calling', 'lessons', 'lose-your-way', 'losing-your-way', 'mistakes', 'positive-thinking', 'trusting-your-journey', 'wandering', 'wilderness', 'wrong-turn ']"
faith,"Faith is not something to grasp, it is a state to grow into.",['faith ']
"faith,hope","The chief beauty about timeis that you cannot waste it in advance.The next year, the next day, the next hour are lying ready for you,as perfect, as unspoiled,as if you had never wasted or misapplieda single moment in all your life.You can turn over a new leaf every hourif you choose.","['faith', 'hope', 'new-beginnings', 'new-day', 'time ']"
"hope,faith,god",The greatest act of faith some days is to simply get up and face another day.,"['encouragement', 'faith', 'god', 'hope', 'inspirational', 'power ']"
faith,Go where your best prayers take you.,"['faith', 'prayer ']"
faith,"Radical obedience to Christ is not easy... It's not comfort, not health, not wealth, and not prosperity in this world. Radical obedience to Christ risks losing all these things. But in the end, such risk finds its reward in Christ. And he is more than enough for us.","['christian-living', 'christianity', 'evangelism', 'faith', 'jesus-christ ']"
faith,"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.","['agnosticism', 'aquinas', 'atheism', 'faith ']"
faith,"I have one desire now - to live a life of reckless abandon for the Lord, putting all my energy and strength into it.","['christianity', 'faith ']"
"faith,quotes,inspiration","Head up, heart open. To better days!","['confidence', 'encouragement', 'endurance', 'faith', 'inspiration', 'optimism', 'quotes ']"
"life,love,wisdom,faith",من قال لك أن درب الجنة معبد بالورود؟,"['change', 'faith', 'heaven', 'islam', 'life', 'love', 'wisdom ']"
"faith,religion",We have a choice. We have two options as human beings. We have a choice between conversation and war. That's it. Conversation and violence. And faith is a conversation stopper.,"['agnosticism', 'atheism', 'belief', 'ethics', 'faith', 'humanism', 'religion', 'spirituality ']"
"faith,relationship,religion,funny,success,education",Rejection is an opportunity for your selection.,"['adult', 'african-american-romance', 'angels', 'baby', 'bible', 'bible-study', 'business', 'childrens', 'christian-living', 'christian-romance', 'college', 'creativity', 'dark-fantasy', 'dating', 'economics', 'education', 'educational', 'entrepreneurship', 'ethics', 'explicit', 'faith', 'family', 'family-relationships', 'fantasy-romance', 'friendship', 'fun', 'funny', 'humorous-romance', 'jesus', 'leadership', 'love-story', 'management', 'marriage', 'meditation', 'motivational', 'nonfiction', 'paranormal-romance', 'parenting', 'personal-transformation', 'relationships', 'religion', 'romantic-comedy', 'romantic-suspense', 'self-esteem', 'self-help', 'sex', 'sexuality', 'sexy', 'spiritual-growth', 'spirituality', 'students', 'success', 'supernatural', 'teen', 'women', 'young-adult', 'young-adult-fantasy ']"
"inspiration,faith","Men and women who turn their lives over to God will discover that He can make a lot more out of their lives than they can. He can deepen their joys, expand their vision, quicken their minds, strengthen their muscles, lift their spirits, multiply their blessings, increase their opportunities, comfort their soals, and pour out peace.","['faith', 'inspirational ']"
"life,faith","When all is said and done, the life of faith is nothing if not an unending struggle of the spirit with every available weapon against the flesh.","['faith', 'human-nature', 'life', 'sin ']"
faith,"God will never give you anything you can't handle, so don't stress.","['faith', 'inspirations ']"
