0,1,2
"friendship,life",The real test of friendship is: can you literally do nothing with the other person? Can you enjoy those moments of life that are utterly simple?,"['Friendship', 'Simple', 'Moments']"
"arts,friendship",I would be willing to do almost anything to make Art happy. I care about our friendship. The only thing I won't do is change the essence of my work.,"['Friendship', 'Change', 'Work']"
"friendship,life","Friendship is the shadow of the evening, which increases with the setting sun of life.","['Friendship', 'Shadow']"
"friendship,life","In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.","['Friendship', 'Time', 'Thankful']"
"friendship,love","I've always wanted to be a mom because I want to give a kid all of the magical gifts my mom gave to me, such as love and friendship. She and I had this incredible connection that was so unbelievable.","['Friendship', 'Mom', 'Connection']"
"arts,friendship","Friendship is unnecessary, like philosophy, like art... It has no survival value; rather it is one of those things that give value to survival.","['Friendship', 'Survival']"
"arts,friendship","The beginning of a friendship, the fact that two people out of the thousands around them can meet and connect and become friends, seems like a kind of magic to me. But maintaining a friendship requires work. I don't mean that as a bad thing. Good art requires work as well.","['Friendship', 'Work', 'Good']"
"arts,friendship",Sometimes being a friend means mastering the art of timing. There is a time for silence. A time to let go and allow people to hurl themselves into their own destiny. And a time to prepare to pick up the pieces when it's all over.,"['Friendship', 'Time', 'Friend']"
"friendship,life","What sweetness is left in life, if you take away friendship? Robbing life of friendship is like robbing the world of the sun. A true friend is more to be esteemed than kinsfolk.","['Friendship', 'Sun', 'Friend']"
friendship,"If we are to judge of love by its consequences, it more nearly resembles hatred than friendship.","['Love', 'Judge', 'Hatred']"
friendship,Love and esteem are the first principles of friendship; it is always imperfect if either of these two are wanting.,"['Love', 'Principles', 'Imperfect']"
friendship,"The best time to frame an answer to the letters of a friend, is the moment you receive them. Then the warmth of friendship, and the intelligence received, most forcibly cooperate.","['Best', 'Time', 'Moment']"
friendship,"Very different from eros is philia, a serene love much more akin to friendship, with its reciprocal kindnesses. You love each other for the happy experiences and pleasures you share.","['Love', 'Happy', 'Share']"
friendship,"There are a lot of musicians I've met on Twitter where it was like, 'Hey, I like your music' - and then I ended up meeting them and it turned into a friendship.","['Music', 'Musicians', 'Meeting']"
friendship,"It is impossible to preserve my friendship with people who are allegedly leaders when they are attacking their own people, shooting at them, using tanks and other forms of heavy weaponry.","['Impossible', 'Leaders', 'Heavy']"
friendship,"I'm friends with Taylor Swift, and I am tired of people asking me questions about our friendship. When I post a picture of us on Instagram, I'm posting a picture of me and my friend.","['Questions', 'Friend', 'Tired']"
friendship,"When I was working on my first novel, 'The Quilter's Apprentice,' I knew I wanted to write about friendship, especially women's friendship and how women use friendship to sustain themselves and nurture each other.","['Women', 'Nurture', 'Novel']"
friendship,I would have told him that I appreciated his friendship through the years and that I had learned a lot from him. I really loved Frank like you do a brother.,"['Brother', 'Loved', 'Learned']"
friendship,"We want 'Doll & Em' to be something we're proud of. We'd love to do another series, but it's not the be-all and end-all. Our friendship is the be-all and end-all.","['Love', 'Proud', 'Doll']"
"friendship,love",Friendship often ends in love; but love in friendship - never.,"['Love', 'Ends']"
friendship,"On the relationship side, if you teach people to respond actively and constructively when someone they care about has a victory, it increases love and friendship and decreases the probability of depression.","['Love', 'Depression', 'Victory']"
"friendship,hope","I usually give a book 40 pages. If it doesn't grab me by then, adios. With young adult books, you can usually tell by Page 4 if it's worth the time. The author establishes the conflict early, sometimes in the first sentence. The themes of hope, family, friendship and overcoming hardship appeal to most everyone.","['Friendship', 'Family', 'Time']"
friendship,"One look at an email can rob you of 15 minutes of focus. One call on your cell phone, one tweet, one instant message can destroy your schedule, forcing you to move meetings, or blow off really important things, like love, and friendship.","['Love', 'Focus', 'Meetings']"
friendship,"It may happen sometimes that a long debate becomes the cause of a longer friendship. Commonly, those who dispute with one another at last agree.","['Debate', 'Happen', 'Last']"
"arts,friendship",Be true to yourself. Make each day a masterpiece. Help others. Drink deeply from good books. Make friendship a fine art. Build a shelter against a rainy day.,"['Friendship', 'Good', 'Help']"
friendship,"The strong bond of friendship is not always a balanced equation; friendship is not always about giving and taking in equal shares. Instead, friendship is grounded in a feeling that you know exactly who will be there for you when you need something, no matter what or when.","['Strong', 'Giving', 'Equal']"
friendship,Meg Ryan is a beautiful and courageous woman. I grieve the loss of her companionship but I've not lost the friendship. We talk all the time and that was what our connection was about. She has a wonderful mind and we just like a chat.,"['Time', 'Beautiful', 'Woman']"
friendship,Moral science is better occupied when treating of friendship than of justice.,"['Science', 'Justice', 'Moral']"
friendship,"The lust and attraction are often a given in a romance novel - I want to dig into the elements of true friendship that form a foundation for a solid, gonna-last-forever romantic relationship.","['Romantic', 'Foundation', 'True']"
friendship,"If we listened to our intellect, we'd never have a love affair. We'd never have a friendship. We'd never go into business, because we'd be cynical. Well, that's nonsense. You've got to jump off cliffs all the time and build your wings on the way down.","['Intelligence', 'Love', 'Time']"
friendship,Some people are willing to betray years of friendship just to get a little bit of the spotlight.,"['Spotlight', 'Betray', 'Willing']"
friendship,"The fact is, with every friendship you make, and every bond of trust you establish, you are shaping the image of America projected to the rest of the world. That is so important. So when you study abroad, you're actually helping to make America stronger.","['Trust', 'Stronger', 'Rest']"
