0,1,2
funny,"Well, don't expect us to be too impressed. We just saw Finnick Odair in his underwear.","['boggs', 'finnick', 'funny', 'humour', 'hunger-games', 'katniss', 'mockingjay', 'odair', 'suzanne-collins', 'witty ']"
"humor,funny","You know the world is going crazy when the best rapper is a white guy, the best golfer is a black guy, the tallest guy in the NBA is Chinese, the Swiss hold the America's Cup, France is accusing the U.S. of arrogance, Germany doesn't want to go to war, and the three most powerful men in America are named ""Bush"", ""Dick"", and ""Colin.""Need I say more?","['comedy', 'everyday-life', 'funny', 'humor', 'observational-comedy ']"
"humor,funny",Going to church doesn’t make you a Christian any more than going to a garage makes you an automobile.,"['automobile', 'car', 'funny', 'humor', 'religious ']"
funny,Never go to bed mad. Stay up and fight.,"['anger', 'funny', 'sleep ']"
"humor,funny","What the hell is that?""I laughed.""It's my fox hat.""""Your fox hat?""""Yeah, Pudge. My fox hat.""""Why are you wearing your fox hat?""I asked.""Because no one can catch the motherfucking fox.","['funny', 'humor ']"
"humor,funny",The planet is fine. The people are fucked.,"['funny', 'humanity', 'humor ']"
funny,It's not true that I had nothing on. I had the radio on.,"['dirty', 'funny', 'logo', 'sex ']"
"humor,funny","I did not attend his funeral, but I sent a nice letter saying I approved of it.","['classic-insult', 'funeral', 'funny', 'humor ']"
funny,Accept who you are. Unless you're a serial killer.,['funny ']
funny,They love their hair because they're not smart enough to love something more interesting.,"['awesomeness', 'funny ']"
funny,"Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.",['funny ']
funny,"Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.",['funny ']
funny,"When life gives you lemons, squirt someone in the eye.","['eyes', 'funny', 'lemons ']"
funny,A lie gets halfway around the world before the truth has a chance to get its pants on.,"['churchill', 'funny', 'true ']"
funny,"It's not because I want to make out with her.""Hold on.""He grabbed a pencil and scrawled excitedly at the paper as if he'd just made a mathematical breakthrough and then looked back up at me. ""I just did some calculations, and I've been able to determine that you're full of shit",['funny ']
"love,humor,romance,funny","If loving someone is putting them in a straitjacket and kicking them down a flight of stairs, then yes, I have loved a few people.","['absurd', 'crazy', 'funny', 'funny-and-random', 'humor', 'love', 'passion', 'romance', 'strange ']"
"funny,books","If a book about failures doesn't sell, is it a success?","['books', 'funny ']"
funny,"I came from a real tough neighborhood. Once a guy pulled a knife on me. I knew he wasn't a professional, the knife had butter on it.","['crime', 'funny', 'humour', 'neighborhoods ']"
"humor,relationship,funny,mind","I consider conversations with people to be mind exercises, but I don't want to pull a muscle, so I stretch a lot. That's why I'm constantly either rolling my eyes or yawning.","['absurd', 'communication', 'conversations', 'funny', 'humor', 'mind', 'people', 'relationships', 'sarcasm', 'sarcastic ']"
funny,Don't be so humble - you are not that great.,"['funny', 'golda', 'meir', 'true ']"
"humor,funny","That's why they call it the American Dream, because you have to be asleep to believe it.","['america', 'dream', 'funny', 'humor', 'wealth ']"
funny,"A word to the wise ain't necessary, it's the stupid ones who need advice.",['funny ']
"humor,funny","I thought I'd lie on the floor and writhe in pain for a while,""he grunted, ""It relaxes me.""""It does? Oh - you're being sarcastic. That's a good sign probably.","['funny', 'humor ']"
funny,"Always go to other people's funerals, otherwise they won't come to yours.",['funny ']
funny,"Did you see that dress?” ""I saw the dress.” ""Did you like it?” He didn't answer. I took that as a yes. ""Am I going to endanger my reputation if I wear it to the dance?” When he spoke, I could barely hear him. ""You'll endanger the school.” I smiled and fell asleep.","['funny', 'sweet ']"
"life,humor,funny","I find out a lot about myself by sleeping. Dreams, they are who I am when I’m too tired to be me.","['discovery', 'dreams', 'funny', 'humor', 'life', 'sleeping', 'surrealism ']"
"humor,funny","Headline?""he asked.""'Swing Set Needs Home,'""I said.""'Desperately Lonely Swing Set Needs Loving Home,'""he said.""'Lonely, Vaguely Pedophilic Swing Set Seeks the Butts of Children,'""I said.","['funny', 'humor', 'humour', 'internet', 'john-green', 'pedophile', 'pedophilia', 'tfios', 'the-fault-in-our-stars ']"
funny,"Damn, Claire. Warn a guy before you do a face-plant on the floor next time. I could have looked all heroic and caught you or something -Shane","['funny', 'morganvillevampires ']"
funny,If you're too open-minded; your brains will fall out.,"['beatnik', 'cynical', 'funny', 'humour ']"
"life,inspiration,wisdom,romance,funny","The mouth is made for communication, and nothing is more articulate than a kiss.","['articulate', 'communication', 'funny', 'inspirational', 'kiss', 'kissing-quotes', 'life', 'mouth', 'romance', 'strange', 'true', 'wisdom ']"
"love,inspiration,relationship,romance,funny","I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?","['fighting', 'funny', 'humour', 'husband', 'inspirational', 'love', 'lover', 'relationships', 'romance', 'spiritual', 'sweet', 'wife ']"
"humor,funny","Can you be a girl for a few seconds?""""I'm always a girl""I frown.""You know what I mean. Like a silly, annoying girl""I twirl my hair around my finger. ""Kay.","['christina', 'divergent', 'funny', 'humor', 'tris', 'veronica-roth ']"
funny,"Um...is that thing tame?""Frank said.The horse whinnied angrily.""I don't think so,""Percy guessed. ""He just said, 'I will trample you to death, silly Chinese Canadian baby man'.","['funny', 'silly-chinese-canadian-baby-man ']"
funny,"What a kid I got, I told him about the birds and the bees and he told me about the butcher and my wife.","['funny', 'humour', 'infidelity', 'parenthood', 'parenting', 'sexuality ']"
funny,I don't hate you.. I just don't like that you exist,"['antipathy', 'dislike', 'funny', 'hatred ']"
funny,"Perv.""He pointed to himself. ""Male and eighteen. What's your point?","['funny', 'morganvillevampires ']"
funny,She's strong! And scary...I bet she's single...I'd put money on it..,"['funny', 'manga', 'naruto', 'women ']"
funny,Never miss a good chance to shut up.,"['advice', 'funny', 'reticence', 'silence ']"
funny,But Dumbledore says he doesn't care what they do as long as they don't take him off the Chocolate Frog cards.,"['celebrity', 'dumbledore', 'fame', 'funny ']"
"life,funny","What makes big boobs and perkiness so attractive to boys? I mean, really. Two round, mounds of fat and a fake smile. Yeah, winning attributes.","['funny', 'life ']"
funny,"Don’t put your wand there, boy! ... Better wizards than you have lost buttocks, you know!","['funny', 'wizards ']"
"humor,funny","Do you ever think if people heard our conversations they'd lock us up?""All the time.","['flotsam', 'funny', 'humor', 'jeremy-fink', 'jetsam', 'keys', 'lizzy', 'wendy-mass', 'what-i-always-think ']"
"humor,relationship,funny","I think the key indicator for wealth is not good grades, work ethic, or IQ. I believe it's relationships. Ask yourself two questions: How many people do I know, and how much ransom money could I get for each one?","['ethics', 'funny', 'grades', 'humor', 'iq', 'kidnap', 'kidnapping', 'money', 'people', 'ransom', 'relationships', 'school', 'wealth', 'work-ethic ']"
"humor,funny",Puns are the highest form of literature.,"['funny', 'humor', 'literature', 'puns ']"
"humor,wisdom,funny","I’m not waiting until my hair turns white to become patient and wise. Nope, I’m dyeing my hair tonight.","['funny', 'humor', 'impatience', 'patient', 'wisdom', 'wise ']"
"humor,funny","Opera is when a guy gets stabbed in the back and, instead of bleeding, he sings.","['bleeding', 'funny', 'humor', 'opera', 'stabbed ']"
"humor,death,funny,writing","I want to write my own eulogy, and I want to write it in Latin. It seems only fitting to read a dead language at my funeral.","['absurd', 'dead-language', 'death', 'eulogy', 'funeral', 'funny', 'funny-quotes', 'humor', 'humorous-quotations', 'latin', 'ridiculous', 'strange', 'surreal-quotes', 'witty-quotes', 'writing ']"
funny,Don't gobblefunk around with words.,"['crazy', 'funny', 'words ']"
"life,funny","I live in my own little world. But its ok, they know me here.","['funny', 'home', 'life ']"
funny,"aren't you, uh... reproducing?""sure, we love reproducing it's one of our favorite things.","['city-of-bones', 'funny ']"
