0,1,2
god,"If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.","['god', 'world ']"
"god,religion","The Christian does not think God will love us because we are good, but that God will make us good because He loves us.","['christianity', 'god', 'religion ']"
"humor,god,religion","When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?""and the thundering voice of God answered, There's just something about you that pisses me off.","['god', 'humor', 'religion ']"
"humor,god","I think God, in creating man, somewhat overestimated his ability.","['creation', 'god', 'humor', 'man ']"
"inspiration,god,religion",Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness ']"
"love,faith,god,hope","And now these three remain: faith, hope and love. But the greatest of these is love.","['faith', 'god', 'hope', 'love ']"
god,To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.,"['christianity', 'forgiveness', 'god ']"
"god,religion",God has no religion.,"['god', 'religion ']"
god,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,['god ']
"wisdom,faith,god","God will not look you over for medals, degrees or diplomas but for scars.","['faith', 'god', 'wisdom ']"
"life,god",The most wasted of all days is one without laughter.,"['god', 'joy', 'life', 'spirituality ']"
"god,religion",A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.,"['god', 'religion ']"
"life,god","If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC","['blues', 'god', 'life', 'music ']"
"faith,god",Never be afraid to trust an unknown future to a known God.,"['faith', 'future', 'god', 'trust ']"
god,"Pain insists upon being attended to. God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a deaf world.","['god', 'pain ']"
"faith,god","The function of prayer is not to influence God, but rather to change the nature of the one who prays.","['faith', 'god', 'prayer ']"
god,"I have faith that God will show you the answer. But you have to understand that sometimes it takes a while to be able to recognize what God wants you to do. That's how it often is. God's voice is usually nothing more than a whisper, and you have to listen very carefully to hear it. But other times, in those rarest of moments, the answer is obvious and rings as loud as a church bell.",['god ']
"humor,god","If you want to know what God thinks of money, just look at the people he gave it to.","['god', 'humor', 'money ']"
god,"The darker the night, the brighter the stars,  The deeper the grief, the closer is God!","['god', 'grief', 'night ']"
"life,god",God gave us the gift of life; it is up to us to give ourselves the gift of living well.,"['Birthday', 'God', 'Gift']"
god,"Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.","['bravery', 'god', 'goodness', 'humanity', 'justice', 'kindness', 'peace', 'suffering ']"
"god,religion","Owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are gods.","['affection', 'atheism', 'cats', 'dogs', 'food', 'god', 'pets', 'religion', 'shelter', 'water ']"
