0,1,2
hope,"There is no reason why challenging themes and engaging stories have to be mutually exclusive - in fact, each can fuel the other. As a filmmaker, I want to entertain people first and foremost. If out of that comes a greater awareness and understanding of a time or a circumstance, then the hope is that change can happen.","['Change', 'Time', 'Reason']"
hope,"To me, one of the best faces America has ever projected is the face of a Peace Corps volunteer. That face symbolizes this country: young, curious, brimming with idealism and hope - and a real, honest compassion.","['Best', 'Peace', 'Compassion']"
"hope,success","If you wish to succeed in life, make perseverance your bosom friend, experience your wise counselor, caution your elder brother, and hope your guardian genius.","['Life', 'Hope', 'Experience']"
"hope,love","Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.","['Love', 'Life', 'Trust']"
"hope,humor",Yesterday I was a dog. Today I'm a dog. Tomorrow I'll probably still be a dog. Sigh! There's so little hope for advancement.,"['Today', 'Dog', 'Tomorrow']"
hope,The secret is not to give up hope. It's very hard not to because if you're really doing something worthwhile I think you will be pushed to the brink of hopelessness before you come through the other side.,"['Secret', 'Worthwhile', 'Brink']"
hope,"The essence of optimism is that it takes no account of the present, but it is a source of inspiration, of vitality and hope where others have resigned; it enables a man to hold his head high, to claim the future for himself and not to abandon it to his enemy.","['Future', 'Optimism', 'Enemy']"
hope,"People don't believe or understand that a community can lose hope. You can have a whole community where hopelessness is the norm, where folks don't have faith that things will get better because history and circumstances have proven over 30, 40, or 50 years that things don't get better.","['Faith', 'History', 'Community']"
hope,"I totally disagree with the view that the Tibet struggle will die, and there will be no hope for Tibet, after the Dalai Lama passes away.","['Struggle', 'View', 'Disagree']"
hope,"If a man like Malcolm X could change and repudiate racism, if I myself and other former Muslims can change, if young whites can change, then there is hope for America.","['Change', 'Racism', 'Muslims']"
hope,"Hope is necessary in every condition. The miseries of poverty, sickness and captivity would, without this comfort, be insupportable.","['Poverty', 'Sickness', 'Comfort']"
"hope,life",Maybe all one can do is hope to end up with the right regrets.,"['Hope', 'Regrets', 'Maybe']"
hope,"I hope that I inspire women to believe in themselves, no matter where they come from; no matter what education they have; what particular background they originate from.","['Education', 'Women', 'Inspire']"
hope,"It's true that General Musharraf opposes my return, seeing me as a symbol of democracy in the country. He is comfortable with dictatorship. I hope better sense prevails.","['Democracy', 'True', 'Seeing']"
hope,"The sparrow that is twittering on the edge of my balcony is calling up to me this moment a world of memories that reach over half my lifetime, and a world of hope that stretches farther than any flight of sparrows.","['Memories', 'Moment', 'Edge']"
hope,"God gives me hope that there is something greater than us, something better and bigger than the here and now, that can help us live.","['God', 'Help', 'Bigger']"
hope,Hope and Change has become Divide and Conquer.,"['Change', 'Conquer', 'Divide']"
hope,"There is a part of me that still wants to go out and grab a backpack and unplug - not take a cellphone or even a camera and just get out there and experience the world and travel. I have yet to do that, but someday I hope.","['Travel', 'Experience', 'Camera']"
hope,"I think you grow wherever God plants you. I hope I'm growing as a person of faith, as a Christian. That should be our number one objective this journey of life. That all starts with a personal intimate relationship with Christ and then being in prayer every single day about all of those things - being tenacious about it.","['Life', 'Faith', 'God']"
hope,The great hope of society is in individual character.,"['Great', 'Society', 'Character']"
hope,"I hope that by modeling feminism in my own life, work and relationships that it will haut become an organic part of my daughter's life. But I'm also fully prepared for her to become a Republican as a way to rebel as a teenager - that would be just my luck!","['Life', 'Work', 'Daughter']"
hope,"I hope that I'm always struggling, really. You develop when you're struggling. When you're struggling, you get stronger.","['Stronger', 'Struggling']"
hope,I do feel strongly that string theory is our best hope for making progress at unifying gravity and quantum mechanics.,"['Best', 'Progress', 'Gravity']"
hope,"Religion kept some of my relatives alive, because it was all they had. If they hadn't had some hope of heaven, some companionship in Jesus, they probably would have committed suicide, their lives were so hellish.","['Religion', 'Suicide', 'Heaven']"
hope,"Together we will build an America where hope is a new job with a paycheck, not a faded word on an old bumper sticker.","['Together', 'Build', 'Word']"
hope,"Like all of us in this storm between birth and death, I can wreak no great changes on the world, only small changes for the better, I hope, in the lives of those I love.","['Love', 'Death', 'Great']"
hope,We must not lose hope. Hope is an anchor to the souls of men. Satan would have us cast away that anchor.,"['Men', 'Satan', 'Anchor']"
