0,1,2
humor,I don't have a disregard for my reader in humor pieces.,"['Pieces', 'Reader', 'Disregard']"
humor,"The only way I could get comfortable around people was to make them laugh. I was an obedient girl, and humor was my one form of rebellion. I used comedy to deflect. Like, 'Hey, check out my zit!' - you know, making fun of yourself before someone else has a chance to.","['Chance', 'Fun', 'Girl']"
humor,I refuse to answer that question on the grounds that I don't know the answer,"['attributed-no-source', 'humor', 'wit ']"
humor,"Bathroom humor, fart, and poo poo humor in movies gets a laugh. It's a pretty easy audience, and that's been around for ages.","['Movies', 'Easy', 'Laugh']"
humor,"He was just trying to tease me - I knew that later - but he said he'd have to leave because it wasn't fair to have anyone in the room who was going to make fun of what he had to say. He had a good sense of humor, really.","['Good', 'Fun', 'Fair']"
"hope,humor",Yesterday I was a dog. Today I'm a dog. Tomorrow I'll probably still be a dog. Sigh! There's so little hope for advancement.,"['Today', 'Dog', 'Tomorrow']"
humor,"I got my sense of humor from my grandmother. You know, my grandmother was very funny.",['Funny']
humor,"Humor, for me, is really a gate of departure. It's a way of enticing a reader into a poem so that less funny things can take place later. It really is not an end in itself, but a means to an end.","['Funny', 'Poem', 'Gate']"
humor,I'm lucky that my real-life Mom has both a great sense of humor about herself and an amazing ability to slip into complete denial if the subject matter gets a little too close to home.,"['Home', 'Mom', 'Great']"
humor,"When people are in the midst of really heavy stuff and still have a sense of humor, I admire that.","['Admire', 'Heavy', 'Midst']"
humor,"You learn timing on the road. You learn structure and how to read an audience. You learn so much about the business of laughter that you can't learn on a set, because it's all on you. Sometimes you bomb, and you know not to tell that joke again... You just hope people find the humor in the awkwardness.","['Business', 'Hope', 'Laughter']"
humor,"As people, we're generally optimistic, no matter how disabled our lives are, and we find the humor in the darkest situations.","['Darkest', 'Matter', 'Situations']"
humor,"One of my pet peeves is that sometimes the talents of my band get overlooked because, and it was the same problem that Frank Zappa had, with a lot of groups that use humor, people don't realize there's a lot of craft behind the comedy.","['Pet', 'Comedy', 'Problem']"
humor,"People, I guess, generally come to see me do stand-up with a working knowledge of my broad sense of humor on 'The Daily Show'... I don't think anyone would mistake me as an actual anchor.","['Knowledge', 'Daily', 'Mistake']"
humor,"We get the worrywart, the hypochondriac, the money-grubbing miser, the intractable negotiator... Some would say certain of these refer to the stereotypical, or 'stage' Jew. But objectively speaking, the only crime in humor is an unfunny joke.","['Crime', 'Stage', 'Joke']"
humor,"I'm actually a perpetual 13-year-old. I've never advanced beyond 13. Every day, tomorrow is my 14th birthday. That's my kind of humor.","['Birthday', 'Tomorrow', 'Beyond']"
humor,I like very dry humor. I don't like things that are over the top. I like subtlety. I like things that are nonchalant. I like characters that are sort of monotone and based in dark comedy.,"['Dark', 'Comedy', 'Top']"
humor,"I love Sell Out, I think it's great. I love the jingles. The whole thing as an album is a wonderful piece of work. The cover. Everything about it. It's got humor, great songs, irony.","['Love', 'Work', 'Great']"
humor,"Stephen King has inspired me with his humor and honesty, and his admonition that the author's job is to tell the truth.","['Truth', 'Honesty', 'King']"
humor,"Our ability to find humor in the world, to make connections between previously unconnected notions, to create new ideas, to share in a common culture: All these essentially human acts depend on memory.","['Culture', 'Memory', 'Ideas']"
humor,"Next to power without honor, the most dangerous thing in the world is power without humor.","['Power', 'Honor', 'Dangerous']"
humor,"If golf wasn't enjoyable and there wasn't a lot of humor and enjoyment, even though the game is so frustrating, you would wonder why you put yourself through it.","['Golf', 'Game', 'Enjoyment']"
humor,"Everybody in my family had a real sick, twisted sense of humor. Most of the jokes we make in our house, we would just never even dream of making anywhere else. Just sick, horrible stuff. That wasn't anything new to college.","['Family', 'College', 'Dream']"
humor,"Whether it's viewers of the show or readers of my columns and books, I'm consistently impressed with their wit, humor and insight. That goes for about 95 percent of the audience. The other five percent are why the 'Delete' option and restraining orders were invented.","['Insight', 'Percent', 'Audience']"
humor,"I think sometimes my humor is extremely dry, and a lot of times I would say things that I thought were very funny but... I have a reputation of - people think of me as a very fundamentalist, humorless fellow.","['Funny', 'Reputation', 'Dry']"
humor,"I'm a pretty tenacious person; I get that from my mom. So sometimes, I use dark humor. I can't take myself too seriously.","['Mom', 'Dark', 'Seriously']"
humor,"A farce, or slapstick humor, does well universally.","['Farce', 'Slapstick']"
humor,"The humor is essentially dark for a cartoon and sophisticated. But at the same time, being a cartoon gives the writers more freedom than in a normal sitcom. It always pushes the line that, despite human failings, the Simpsons are really decent people.","['Time', 'Freedom', 'Dark']"
humor,"I have this idyllic love life, but my mind just won't accept that. I would like to bring a new guy home every night. I try to make humor out of that situation.","['Life', 'Love', 'Home']"
humor,"I think in life, the sense of humor and comedy always exists.","['Life', 'Comedy', 'Exists']"
humor,It's great to be able to connect parents with children both emotionally and through humor. I look forward to exploring family entertainment once again and examining the specifics of our day-to-day lives against the backdrop of an extraordinary adventure.,"['Family', 'Great', 'Adventure']"
humor,"The real important things are kindness and a sense of humor. I've been fortunate to have dated and could have easily married women who have those qualities, and time and circumstances didn't work out. Timing plays a big part.","['Work', 'Time', 'Women']"
humor,"That is the saving grace of humor, if you fail no one is laughing at you.","['Grace', 'Fail', 'Laughing']"
humor,I really hate sitcoms on television with canned laughter and stuff. What really makes me laugh is the real-life stuff. I've got a dry sense of humor.,"['Laughter', 'Television', 'Hate']"
humor,He can run faster than Severus Snape confronted with shampoo.,"['humor', 'shampoo ']"
humor,"When I was young, my favorite picture book was 'Fletcher and Zenobia,' written by Edward Gorey and illustrated by Victoria Chess. It's long out of print now, but its mix of macabre humor and 1960s psychedelia made it a perfect children's book for the times.","['Book', 'Chess', 'Perfect']"
humor,"My wife has a good sense of humor, and instead of calling me psychic with my novels, she simply refers to me as being 'psycho.' That's because multiple things in my books have come true.","['Good', 'Wife', 'True']"
humor,"I'll do humor about myself, I'll poke fun and everything, but that's me and I can do it to me. I think it's cruel to do it to somebody else.","['Fun', 'Cruel', 'Poke']"
humor,"I've never met a person who has more integrity than my husband. I respect that. There's his humor and intelligence, too, and he's really cute, all those things - but if you don't respect your partner, you'll get sick of him.","['Respect', 'Integrity', 'Cute']"
humor,There's something about Southern women that is so unique yet so universal. Strong southern women are allowed to be soft and feminine and have a sense of humor. But what I love about Southern women in particular is their universality.,"['Love', 'Women', 'Strong']"
humor,"My stories are very somber, so I think I need the comic ingredient. Besides, life has so much humor.","['Life', 'Comic', 'Stories']"
humor,"Tony and I had a good on and off screen relationship, we are two very different people, but we did share a sense of humor, we now live in different parts of the world but when we find ourselves in the same place it is more or less as if there had been no years in between.","['Good', 'Share', 'Ourselves']"
humor,"When you're in jail, a good friend will be trying to bail you out. A best friend will be in the cell next to you saying, 'Damn, that was fun'.","['friends', 'humor', 'jail ']"
humor,There's a fine line between genius and insanity. I have erased this line.,"['genius', 'humor', 'insanity ']"
