0,1,2
inspiration,Do what you feel in your heart to be right – for you’ll be criticized anyway.,['inspirational ']
inspiration,Peace begins with a smile..,"['inspirational', 'peace', 'smile', 'smiling ']"
"inspiration,happiness",Happiness is not something ready made. It comes from your own actions.,"['happiness', 'inspirational ']"
inspiration,"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!","['freethinker', 'inspirational', 'mad ']"
inspiration,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.",['inspirational ']
inspiration,"Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.",['inspiration ']
inspiration,"Don't think or judge, just listen.",['inspirational-quotes ']
"hope,inspiration,life,love",Your ordinary acts of love and hope point to the extraordinary promise that every human life is of inestimable value.,"['Inspirational', 'Love', 'Hope']"
"life,inspiration,books","Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.","['books', 'inspirational', 'life', 'reading ']"
inspiration,What lies behind us and what lies before us are tiny matters compared to what lies within us.,['inspirational ']
"love,hope,inspiration","When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.","['hope', 'inspiration', 'love', 'santiago ']"
"humor,inspiration","Two wrongs don't make a right, but they make a good excuse.","['humor', 'inspirational ']"
"life,philosophy,inspiration","Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.","['activism', 'change', 'inspirational', 'life', 'philosophy', 'world ']"
inspiration,"First they ignore you, then they ridicule you, then they fight you, and then you win.","['conflict', 'fighting', 'inspirational', 'trial ']"
inspiration,"So we beat on, boats against the current, borne back ceaselessly into the past.","['book', 'inspirational ']"
inspiration,"Whatever you are, be a good one.",['inspirational ']
"life,inspiration","Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.","['Beauty', 'Dreams', 'Smiling']"
"wisdom,hope,knowledge,inspiration","Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.","['dreams', 'hope', 'inspiration', 'knowledge', 'wisdom ']"
inspiration,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.","['friendship', 'inspirational ']"
"inspiration,hope",I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"['hope', 'imagination', 'inspirational ']"
inspiration,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.","['inspirational', 'women ']"
"hope,inspiration,life,love",Your ordinary acts of love and hope point to the extraordinary promise that every human life is of inestimable value.,"['Inspirational', 'Life', 'Love']"
"life,philosophy,inspiration,wisdom",May you live every day of your life.,"['inspirational', 'life', 'philosophy', 'wisdom ']"
