0,1,2
love,I love deadlines. I like the whooshing sound they make as they fly by.,"['Funny', 'Deadlines', 'Fly']"
love,"Black as the devil, hot as hell, pure as an angel, sweet as love.","['Hell', 'Black', 'Sweet']"
love,We loved with a love that was more than love.,['Loved']
"hope,love","Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.","['Love', 'Life', 'Trust']"
love,For small creatures such as we the vastness is bearable only through love.,"['Vastness', 'Small']"
love,"Man must evolve for all human conflict a method which rejects revenge, aggression and retaliation. The foundation of such a method is love.","['Aggression', 'Conflict']"
love,A woman knows the face of the man she loves as a sailor knows the open sea.,"['Woman', 'Sailor', 'Sea']"
love,Affection is responsible for nine-tenths of whatever solid and durable happiness there is in our lives.,"['Happiness', 'Affection']"
"life,love",Life without love is like a tree without blossoms or fruit.,"['Life', 'Tree', 'Fruit']"
love,"Lord, grant that I might not so much seek to be loved as to love.","['Loved', 'Seek', 'Lord']"
love,"You are, and always have been, my dream.",['love ']
love,At the center of non-violence stands the principle of love.,"['Center', 'Principle', 'Stands']"
love,"Love has no age, no limit; and no death.","['Death', 'Age', 'Limit']"
love,A part of kindness consists in loving people more than they deserve.,"['Kindness', 'Deserve']"
love,"Love is the joy of the good, the wonder of the wise, the amazement of the Gods.","['Good', 'Wonder', 'Wise']"
love,"You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.","['friendship', 'love ']"
"love,poetry",We love the things we love for what they are.,"['love', 'poetry ']"
love,"Whatever our souls are made of, his and mine are the same.","['Whatever', 'Mine', 'Souls']"
love,One is loved because one is loved. No reason is needed for loving.,['love ']
love,"As the Father has loved me, so have I loved you.","['Father', 'Loved']"
love,"Love has no errors, for all errors are the want for love.",['Errors']
love,"Perhaps all the dragons in our lives are princesses who are only waiting to see us act, just once, with beauty and courage. Perhaps everything that frightens us is, in its deepest essence, something helpless that wants our love.",['love ']
love,Be of love a little more careful than of anything.,['Careful']
love,"Love is always bestowed as a gift - freely, willingly and without expectation. We don't love to be loved; we love to love.","['Loved', 'Gift', 'Bestowed']"
love,Love is a game that two can play and both win.,"['Win', 'Game', 'Both']"
love,"True love cannot be found where it does not exist, nor can it be denied where it does.","['True', 'Found', 'Exist']"
love,I would die for you. But I won't live for you.,['love ']
love,"As soon go kindle fire with snow, as seek to quench the fire of love with words.","['Fire', 'Kindle', 'Words']"
love,In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you.,"['love', 'mr-darcy ']"
love,Love is the greatest gift that God has given us. It's free.,"['God', 'Greatest', 'Free']"
love,A kiss is a rosy dot over the 'i' of loving.,"['Kiss', 'Loving', 'Dot']"
love,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.","['War', 'Battle', 'Growing']"
love,"Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.","['christopher-robin', 'friendship', 'love', 'pooh', 'sweet', 'the', 'winnie ']"
love,Love is a hole in the heart.,"['Heart', 'Hole']"
love,I don't know that love changes. People change. Circumstances change.,"['Change', 'Changes']"
"hope,inspiration,life,love",Your ordinary acts of love and hope point to the extraordinary promise that every human life is of inestimable value.,"['Inspirational', 'Love', 'Hope']"
love,"I am happier when I love than when I am loved. I adore my husband, my son, my grandchildren, my mother, my dog, and frankly, I don't know if they even like me. But who cares? Loving them is my joy.","['Mother', 'Son', 'Dog']"
love,"Nowadays love is a matter of chance, matrimony a matter of money and divorce a matter of course.","['Money', 'Chance', 'Divorce']"
"life,love","My life path has been a blessing and a great learning experience. Skateboarding is my passion and I don't see that changing. When I'm not skating, I love to surf. I'm open to the new experiences and opportunities.","['Life', 'Learning', 'Experience']"
love,"The one thing I don't consume during 'Today' - which surprises many people - is coffee. I find that a lot of water helps wake me up, without the buzz. I love coffee, but usually reserve a double espresso as an afternoon pick-me-up before settling in to do the weekend 'Nightly News.'","['Coffee', 'Today', 'Water']"
love,I love a vintage look that's also a bit rock n' roll.,"['Vintage', 'Rock', 'Roll']"
love,Wine comes in at the mouth And love comes in at the eye; That's all we shall know for truth Before we grow old and die.,"['Dating', 'Truth', 'Wine']"
love,"If a person loves only one other person and is indifferent to all others, his love is not love but a symbiotic attachment, or an enlarged egotism.","['Others', 'Attachment', 'Loves']"
love,"I think relationships are work, but love is a gift.","['Work', 'Gift']"
love,"Lot's wife, of course, was told not to look back where all those people and their homes had been. But she did look back, and I love her for that, because it was so human.","['Wife', 'Course', 'Homes']"
"love,hope,inspiration","When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.","['hope', 'inspiration', 'love', 'santiago ']"
love,It is in the thirties that we want friends. In the forties we know they won't save us any more than love did.,"['Save', 'Forties', 'Thirties']"
"life,love","Being a survivor doesn't mean being strong - it's telling people when you need a meal or a ride, company, whatever. It's paying attention to heart wisdom, feelings, not living a role, but having a unique, authentic life, having something to contribute, finding time to love and laugh. All these things are qualities of survivors.","['Love', 'Wisdom', 'Time']"
love,"I honestly, sincerely love what I do.","['Honestly', 'Sincerely']"
love,They are always saying God loves us. If that's love I'd rather have a bit of kindness.,"['God', 'Kindness', 'Rather']"
love,"Sometimes you're afraid to fall in love with a chick, but she sucks you in anyway.","['Afraid', 'Fall', 'Sucks']"
"life,love",I went to a psychoanalyst. He explained things about my love life that I found very impressive... almost scary.,"['Life', 'Explained', 'Found']"
