0,1,2
"love,soul,mind","I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts.","['care', 'diversity', 'heart', 'individuality', 'love', 'mind', 'seduction', 'soul ']"
mind,I will not let anyone walk through my mind with their dirty feet.,"['cleanliness', 'consciousness', 'corruption', 'feet', 'individuality', 'mind', 'purity ']"
"humor,relationship,funny,mind","I consider conversations with people to be mind exercises, but I don't want to pull a muscle, so I stretch a lot. That's why I'm constantly either rolling my eyes or yawning.","['absurd', 'communication', 'conversations', 'funny', 'humor', 'mind', 'people', 'relationships', 'sarcasm', 'sarcastic ']"
mind,"You might be poor, your shoes might be broken, but your mind is a palace.","['intelligence', 'mind', 'poverty ']"
"life,mind",Biology gives you a brain. Life turns it into a mind.,"['brain', 'life', 'mind ']"
mind,"When the heart speaks, the mind finds it indecent to object.","['heart', 'mind ']"
mind,The snake which cannot cast its skin has to die. As well the minds which are prevented from changing their opinions; they cease to be mind.,"['change', 'mind', 'nietzsche ']"
"life,mind","Stories you read when you're the right age never quite leave you. You may forget who wrote them or what the story was called. Sometimes you'll forget precisely what happened, but if a story touches you it will stay with you, haunting the places in your mind that you rarely ever visit.","['haunting', 'life', 'mind', 'stories', 'youth ']"
mind,I'll be more enthusiastic about encouraging thinking outside the box when there's evidence of any thinking going on inside it.,['mind ']
"education,mind","The mind is not a vessel to be filled, but a fire to be kindled.","['curiosity', 'education', 'mentoring', 'mind', 'thinking ']"
mind,"A man's mind is stretched by a new idea or sensation, and never shrinks back to its former dimensions.","['mind', 'new-ideas ']"
"humor,mind,books",I am not absentminded. It is the presence of mind that makes me unaware of everything else.,"['attention', 'books', 'humor', 'mind', 'wit ']"
"humor,mind","I must have a prodigious amount of mind; it takes me as much as a week, sometimes, to make it up!","['decisions', 'humor', 'mind ']"
"soul,mind","The soul, fortunately, has an interpreter - often an unconscious but still a faithful interpreter - in the eye.","['eyes', 'interpretation', 'mind', 'soul ']"
mind,"Because fear kills everything,""Mo had once told her. ""Your mind, your heart, your imagination.","['fear', 'heart', 'imagination', 'mind ']"
mind,Reading is to the mind what exercise is to the body.,"['mind', 'reading ']"
mind,You're mind is working at its best when you're being paranoid.You explore every avenue and possibility of your situationat high speed with total clarity.,"['art', 'clarity', 'mind', 'paranoia', 'thinking ']"
mind,Nothing is at last sacred but the integrity of your own mind.,"['integrity', 'mind ']"
"life,inspiration,success,soul,mind","People tend to be generous when sharing their nonsense, fear, and ignorance. And while they seem quite eager to feed you their negativity, please remember that sometimes the diet we need to be on is a spiritual and emotional one. Be cautious with what you feed your mind and soul. Fuel yourself with positivity and let that fuel propel you into positive action.","['action', 'diet', 'emotional', 'fear', 'fuel', 'ignorance', 'inspiration', 'life', 'mind', 'motivation', 'negativity', 'people', 'positivity', 'soul', 'spiritual', 'success ']"
mind,"Reality exists in the human mind, and nowhere else.","['1984', 'human', 'intellectual', 'mind', 'reality ']"
mind,It's all in the mind.,"['beatles', 'mind', 'perception', 'psychology ']"
mind,The boldness of his mind was sheathed in a scabbard of politeness.,"['bold', 'boldness', 'courtesy', 'mind', 'politeness', 'scabbard', 'sheathed', 'thomas-jefferson ']"
mind,A man says a lot of things in summer he doesn't mean in winter.,"['change', 'mind', 'summer', 'winter ']"
"life,love,inspiration,humor,relationship,poetry,romance,soul,mind","My brain is divided into two butterflies, and both are in love with your rose-shaped heart. If you've got the garden, I've got my whole life.","['abstract', 'being', 'brain', 'brilliant', 'butterflies', 'butterfly', 'crazy', 'divide', 'divided', 'flower', 'flowers', 'garden', 'gardening', 'heart', 'humor', 'in-love', 'inspirational', 'inspire', 'instagram-quote', 'instaquote', 'life', 'light-hearted', 'love', 'lust', 'mind', 'motivate', 'motivational', 'poem', 'poet', 'poetic', 'poetry', 'quote-for-instagram', 'relationships', 'romance', 'romantic', 'rose', 'soul', 'spirit', 'spiritual', 'time', 'word-junkies ']"
"life,wisdom,mind","When you make a choice, you change the future.","['choice', 'choosing', 'future', 'genius', 'life', 'mind', 'wisdom ']"
mind,"The mind can calculate, but the spirit yearns, and the heart knows what the heart knows","['call', 'mind', 'stephen-king ']"
mind,"At that moment I had no mind to change, or not change, or throw against the nearest wall.","['kiss', 'mamimum', 'maximum-ride', 'mind', 'ride ']"
"life,inspiration,happiness,purpose,mind","As long as I am breathing, in my eyes, I am just beginning.","['advancement', 'age', 'aging', 'aging-well', 'ambition', 'beginning', 'birth', 'birthday', 'body', 'born', 'breathing', 'encouraging', 'eyes', 'forgiveness', 'fresh-start', 'fulfillment', 'goal', 'growing-old', 'growth', 'happiness', 'happy-new-year', 'hard-work', 'inspirational', 'joy', 'life', 'living', 'living-life', 'mind', 'mind-body-spirit', 'motivational', 'movement', 'new', 'new-beginning', 'new-beginnings', 'new-life', 'new-year', 'new-years-eve', 'new-years-resolution', 'newness', 'ny', 'nye', 'old', 'old-age', 'oldness', 'peace', 'peace-of-mind', 'perspective', 'productivity', 'progress', 'purpose', 'rebirth', 'reborn', 'resolution', 'restart', 'retry', 'revolution', 'spirit', 'start', 'start-over', 'start-over-again', 'thinking', 'try-again', 'unfinished', 'unfinished-work', 'way-of-life', 'wellness', 'work', 'work-in-progress', 'young', 'young-age', 'youth ']"
"love,romance,mind",I drank so much booze I was bamboozled. Alcohol makes my mind as discombobulated as love makes my heart. I’d sure appreciate it if you poured me a large glass of romance.,"['absurd', 'alcohol', 'appreciation', 'bamboozle', 'bamboozled', 'booze', 'discombobulated', 'drank', 'drink', 'drinking', 'drunk', 'heart', 'love', 'mind', 'pour', 'romance', 'romantic', 'word-junkies ']"
mind,Your battles inspired me - not the obvious material battles but those that were fought and won behind your forehead.,"['battles', 'irish', 'mind ']"
"god,knowledge,soul,mind","I am the coffee, and God is The Barista. Through me, he may awaken your soul. But the coffee knows not what flows through the mind of The Barista.","['coffee', 'flow', 'god', 'knowledge', 'man', 'mind', 'soul', 'word-junkies ']"
"humor,mind","I had a dream about you. You were storing my brain in a pickle jar in the fridge, and I only discovered it when I went to garnish my hamburger. Mindless and hungry, I was a US politician’s ideal voter.","['america', 'brain', 'brains', 'dream', 'dreaming', 'dreams', 'food', 'fridge', 'hamburger', 'humor', 'hungry', 'jar', 'mind', 'mindless', 'pickle-jar', 'pickles', 'politics', 'us', 'us-voter', 'usa', 'vote', 'voter', 'word-junkies ']"
