0,1,2
"life,philosophy,inspiration","Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.","['activism', 'change', 'inspirational', 'life', 'philosophy', 'world ']"
"philosophy,poetry",You talk when you cease to be at peace with your thoughts.,"['philosophy', 'poetry ']"
"life,philosophy,inspiration,wisdom",May you live every day of your life.,"['inspirational', 'life', 'philosophy', 'wisdom ']"
"life,philosophy","We have to dare to be ourselves, however frightening or strange that self may prove to be.","['authenticity', 'life', 'philosophy', 'self ']"
philosophy,Man is the only creature who refuses to be what he is.,"['human-nature', 'man', 'mankind', 'philosophy ']"
"philosophy,humor","If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?","['einstein', 'human', 'humor', 'philosophy', 'stupidity ']"
"philosophy,humor","It is hard enough to remember my opinions, without also remembering my reasons for them!","['humor', 'philosophy ']"
"philosophy,science","One, remember to look up at the stars and not down at your feet. Two, never give up work. Work gives you meaning and purpose and life is empty without it. Three, if you are lucky enough to find love, remember it is there and don't throw it away.","['philosophy', 'science ']"
"inspiration,philosophy,humor,wisdom",Never let your sense of morals prevent you from doing what is right.,"['humor', 'inspirational', 'philosophy', 'wisdom ']"
"philosophy,philosophy","There is nothing either good or bad, but thinking makes it so.",['philosophy ']
philosophy,Wise men speak because they have something to say; fools because they have to say something.,"['intellect', 'philosophy ']"
"philosophy,humor","Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!","['humor', 'philosophy ']"
"life,philosophy","A woman has to live her life, or live to repent not having lived it.","['life', 'living', 'philosophy', 'women ']"
"arts,life,philosophy","Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.","['Art', 'Educate', 'Living']"
philosophy,"Without deviation from the norm, progress is not possible.","['music', 'philosophy', 'progress ']"
"life,inspiration,philosophy","Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world.","['inspirational', 'life', 'philosophy ']"
philosophy,"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.","['activism', 'ethics', 'justice', 'philosophy ']"
philosophy,Trust yourself. You know more than you think you do.,"['parenting', 'philosophy', 'self-assurance ']"
"philosophy,science",The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.,"['1931', 'art', 'mystery', 'philosophy', 'science ']"
philosophy,"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.","['confidence', 'eccentricity', 'philosophy ']"
philosophy,"Fantasy is escapist, and that is its glory. If a soldier is imprisioned by the enemy, don't we consider it his duty to escape?. . .If we value the freedom of mind and soul, if we're partisans of liberty, then it's our plain duty to escape, and to take as many people with us as we can!","['fantasy', 'literature', 'philosophy ']"
philosophy,We are all atheists about most of the gods that humanity has ever believed in. Some of us just go one god further.,"['atheism', 'philosophy ']"
"arts,philosophy","The aim of art is to represent not the outward appearance of things, but their inward significance.","['Appearance', 'Aim', 'Inward']"
philosophy,"You're not to be so blind with patriotism that you can't face reality. Wrong is wrong, no matter who does it or says it.","['philosophy', 'politics ']"
"life,philosophy,inspiration,hope",Maybe everyone can live beyond what they're capable of.,"['hope', 'inspirational', 'life', 'philosophy ']"
philosophy,"Let's think the unthinkable, let's do the undoable. Let us prepare to grapple with the ineffable itself, and see if we may not eff it after all.",['philosophy ']
"philosophy,humor","If you ever find yourself in the wrong story, leave.","['fairy-tales', 'humor', 'humorous', 'philosophy', 'psychology ']"
"life,philosophy,inspiration,wisdom,truth,education",The past has no power over the present moment.,"['education', 'inspirational', 'life', 'philosophy', 'truth', 'wisdom ']"
"philosophy,humor",Time is an illusion. Lunchtime doubly so.,"['humor', 'philosophy', 'science-fiction ']"
"philosophy,truth,religion",A truth that's told with bad intentBeats all the lies you can invent.,"['lies', 'logic', 'philosophy', 'religion', 'truth ']"
"life,philosophy",The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.,"['life', 'philosophy', 'philosophy-of-life', 'progress ']"
philosophy,"I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.",['philosophy ']
philosophy,"When we are tired, we are attacked by ideas we conquered long ago.","['past', 'philosophy ']"
philosophy,Those who know do not speak. Those who speak do not know.,"['philosophy', 'wayfinding ']"
