0,1,2
"love,poetry",We love the things we love for what they are.,"['love', 'poetry ']"
"philosophy,poetry",You talk when you cease to be at peace with your thoughts.,"['philosophy', 'poetry ']"
"love,poetry","Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.","['love', 'poetry', 'song ']"
poetry,"Tell me, what is it you plan to do with your one wild and precious life?",['poetry ']
"life,inspiration,wisdom,hope,poetry","If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.","['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom ']"
poetry,I have loved the stars too fondly to be fearful of the night.,"['night', 'poetry ']"
poetry,"Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.","['art', 'poetry ']"
poetry,To be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.,['poetry ']
poetry,"Resist much, obey little.",['poetry ']
"life,death,poetry",Unbeing dead isn't being alive.,"['death', 'life', 'poetry ']"
poetry,"Some say the world will end in fire,Some say in ice.From what I've tasted of desire,I hold with those who favor fire. But if it had to perish twiceI think I know enough of hateTo say that for destruction iceIs also greatAnd would suffice.",['poetry ']
poetry,Poets have been mysteriously silent on the subject of cheese.,"['cheese', 'poetry ']"
poetry,"A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.",['poetry ']
poetry,If you are a dreamer come inIf you are a dreamer a wisher a liarA hoper a pray-er a magic-bean-buyerIf youre a pretender com sit by my fireFor we have some flax golden tales to spinCome in! Come in!,"['dreamer', 'imagination', 'liar', 'make-believe', 'poetry', 'wisher', 'wishes ']"
"wisdom,poetry","Trees are poems the earth writes upon the sky, We fell them down and turn them into paper,That we may record our emptiness.","['poetry', 'wisdom ']"
poetry,"One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.","['art', 'good-life', 'music', 'poetry', 'self-improvement ']"
poetry,What is that you express in your eyes? It seems to me more than all the print I have read in my life.,['poetry ']
poetry,Let our scars fall in love.,['poetry ']
"poetry,books","Still round the corner there may wait A new road or a secret gateAnd though I oft have passed them by A day will come at last when IShall take the hidden paths that run West of the Moon, East of the Sun.","['books', 'poetry ']"
"inspiration,poetry","She seems so cool, so focused, so quiet, yet her eyes remain fixed upon the horizon. You think you know all there is to know about her immediately upon meeting her, but everything you think you know is wrong. Passion flows through her like a river of blood. She only looked away for a moment, and the mask slipped, and you fell. All your tomorrows start here.","['inspirational', 'poetry ']"
"humor,poetry,religion","Forgive, O Lord, my little jokes on TheeAnd I'll forgive Thy great big one on me.","['humor', 'poetry', 'religion ']"
"life,poetry","If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.","['arts', 'life', 'music', 'poetry ']"
poetry,As it has been said:Love and a coughcannot be concealed.Even a small cough.Even a small love.,['poetry ']
poetry,Only those who will risk going too far can possibly find out how far one can go.,['poetry ']
poetry,I shut my eyes and all the world drops dead; I lift my eyes and all is born again.,['poetry ']
poetry,This is the way the world endsNot with a bang but a whimper.,"['apocalypse', 'despair', 'poetry ']"
"love,poetry","Watch out for intellect,because it knows so much it knows nothingand leaves you hanging upside down,mouthing knowledge as your heartfalls out of your mouth.","['intellect', 'love', 'poetry ']"
"philosophy,death,poetry",You only live twice:Once when you are bornAnd once when you look death in the face,"['death', 'haiku', 'james-bond', 'philosophy', 'poetry ']"
"poetry,writing","Always be a poet, even in prose.","['poetry', 'prose', 'writing ']"
poetry,"If you have the words, there's always a chance that you'll find the way.","['expression', 'finding-your-voice', 'poetry ']"
poetry,Poetry is what gets lost in translation.,['poetry ']
poetry,Poetry is what happens when nothing else can.,['poetry ']
"life,poetry",What a strange thing!to be alivebeneath cherry blossoms.,"['blossoms', 'cherry-blossoms', 'haiku', 'japan', 'life', 'poetry', 'spring ']"
poetry,"One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.","['drunk', 'poetry', 'virtue', 'wine ']"
poetry,"Ho! Ho! Ho! To the bottle I goTo heal my heart and drown my woeRain may fall, and wind may blowAnd many miles be still to goBut under a tall tree will I lieAnd let the clouds go sailing by","['drinking', 'liquor', 'poetry', 'sadness ']"
poetry,"You might as well ask an artist to explain his art, or ask a poet to explain his poem. It defeats the purpose. The meaning is only clear thorough the search.","['art', 'artist', 'painting', 'poem', 'poet', 'poetry ']"
"life,poetry",There is not a particle of life which does not bear poetry within it,"['life', 'poetry ']"
