0,1,2
"life,purpose",He who has a why to live for can bear almost any how.,"['how', 'life', 'purpose', 'questioning', 'questions', 'why ']"
purpose,"The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.","['helping-others', 'make-a-difference', 'purpose', 'purpose-of-life ']"
"life,love,inspiration,purpose",The best things in life make you sweaty.,"['inspirational', 'life', 'love', 'meaning-of-life', 'philosophical', 'puberty', 'purpose ']"
"death,god,purpose","Because God is never cruel, there is a reason for all things. We must know the pain of loss; because if we never knew it, we would have no compassion for others, and we would become monsters of self-regard, creatures of unalloyed self-interest. The terrible pain of loss teaches humility to our prideful kind, has the power to soften uncaring hearts, to make a better person of a good one.","['death', 'god', 'loss', 'purpose', 'understanding ']"
"life,inspiration,success,purpose","If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.","['accountability', 'friends', 'inspirational', 'life', 'motivational', 'purpose', 'responsibility', 'success ']"
purpose,Your purpose in life is to find your purpose and give your whole heart and soul to it,"['mission', 'purpose', 'work ']"
"faith,relationship,purpose","There are no coincidences in life. What person that wandered in and out of your life was there for some purpose, even if they caused you harm. Sometimes, it doesn’t make sense the short periods of time we get with people, or the outcomes from their choices. However, if you turn it over to God he promises that you will see the big picture in the hereafter. Nothing is too small to be a mistake.","['abused', 'acceptance', 'acquaintances', 'beginnings', 'chance', 'children', 'church-members', 'cruelty', 'destinations', 'destiny', 'divorce', 'don-t-give-up', 'experience', 'experiences', 'faith', 'family', 'fate', 'friends', 'god-s-plan', 'grief', 'hold-on', 'hurt', 'ignored', 'journeys', 'life-lessons', 'loss-of-faith', 'loss-of-love', 'luck', 'marriage', 'meaning', 'meaning-of-life', 'men', 'never-give-up', 'no-coincidences', 'pain', 'purpose', 'random', 'rejection', 'relationships', 'sorrow', 'spouse', 'starting-over', 'strangers', 'timing', 'understanding', 'unrequited-love', 'women ']"
"life,inspiration,purpose","I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!","['aspirations', 'devil', 'goodness', 'inspirational', 'life', 'live', 'morning', 'motivational', 'purpose ']"
purpose,"What should young people do with their lives today? Many things, obviously. But the most daring thing is to create stable communities in which the terrible disease of loneliness can be cured.","['action', 'community', 'daring', 'loneliness', 'purpose', 'youth ']"
"life,inspiration,purpose",It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!,"['action', 'change', 'gratitude', 'inspiration', 'life', 'motivational', 'purpose', 'seize-the-day ']"
"life,purpose","If you want to identify me, ask me not where I live, or what I like to eat, or how I comb my hair, but ask me what I am living for, in detail, ask me what I think is keeping me from living fully for the thing I want to live for.","['destiny', 'life', 'purpose ']"
"life,love,philosophy,inspiration,happiness,wisdom,purpose","It does not matter how long you are spending on the earth, how much money you have gathered or how much attention you have received. It is the amount of positive vibration you have radiated in life that matters,","['attention', 'compassion', 'happiness', 'happy-life', 'inspirational', 'kindness', 'life', 'love', 'meaning-of-life', 'meditation', 'money', 'oneness', 'peace', 'perspective', 'philosophy', 'positive-attitude', 'positive-living', 'purpose', 'purpose-in-life', 'purpose-of-life', 'purposeful-living', 'respect', 'revelation', 'self-awareness', 'self-discovery', 'spirit', 'spirituality', 'wisdom ']"
