0,1,2
"god,religion","The Christian does not think God will love us because we are good, but that God will make us good because He loves us.","['christianity', 'god', 'religion ']"
"religion,science,religion,science","Science without religion is lame, religion without science is blind.","['religion', 'science ']"
"humor,god,religion","When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?""and the thundering voice of God answered, There's just something about you that pisses me off.","['god', 'humor', 'religion ']"
"inspiration,religion","The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..","['inspirational', 'religion ']"
"inspiration,god,religion",Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness ']"
"god,religion",God has no religion.,"['god', 'religion ']"
religion,"In heaven, all the interesting people are missing.","['heaven', 'religion ']"
"love,religion","Hate the sin, love the sinner.","['hate', 'love', 'religion', 'sin', 'sinners ']"
"god,religion",A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.,"['god', 'religion ']"
"religion,science,books",Science and religion are not at odds. Science is simply too young to understand.,"['books', 'dan-brown', 'religion', 'science ']"
religion,"Atheism turns out to be too simple. If the whole universe has no meaning, we should never have found out that it has no meaning...","['atheism', 'religion ']"
religion,I cannot believe in a God who wants to be praised all the time.,"['agama', 'agnosticism', 'prayer', 'religion ']"
religion,"Knock, And He'll open the doorVanish, And He'll make you shine like the sunFall, And He'll raise you to the heavensBecome nothing, And He'll turn you into everything.","['islam', 'religion', 'spirituality ']"
"arts,religion","Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think.","['Religion', 'Training', 'Animal']"
"philosophy,truth,religion",A truth that's told with bad intentBeats all the lies you can invent.,"['lies', 'logic', 'philosophy', 'religion', 'truth ']"
"inspiration,religion","My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.","['inspirational', 'philosophical', 'politics', 'religion', 'religious ']"
religion,Isn't it enough to see that a garden is beautiful without having to believe that there are fairies at the bottom of it too?,"['atheism', 'religion', 'skeptic ']"
"humor,poetry,religion","Forgive, O Lord, my little jokes on TheeAnd I'll forgive Thy great big one on me.","['humor', 'poetry', 'religion ']"
"god,religion","Owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are gods.","['affection', 'atheism', 'cats', 'dogs', 'food', 'god', 'pets', 'religion', 'shelter', 'water ']"
"god,religion","He died not for men, but for each man. If each man had been the only man made, He would have done no less.","['god', 'religion ']"
"philosophy,religion,science","Heard melodies are sweet, but those unheard, are sweeter","['philosophy', 'religion', 'science ']"
"faith,religion",All I have seen teaches me to trust the Creator for all I have not seen.,"['belief', 'experience', 'faith', 'judging-from-experience', 'religion', 'unseen ']"
religion,"When I do good, I feel good. When I do bad, I feel bad. That's my religion.","['abraham-lincoln', 'religion ']"
"philosophy,humor,religion",The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.,"['humor', 'philosophy', 'religion ']"
religion,My religion is very simple. My religion is kindness.,"['buddism', 'kindness', 'religion ']"
"god,religion","I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.","['god', 'organized-religion', 'religion', 'spirituality ']"
