0,1,2
romance,"You can't force love, I realized. It's there or it isn't. If it's not there, you've got to be able to admit it. If it is there, you've got to do whatever it takes to protect the ones you love.","['fiction', 'romance ']"
"love,romance","The best love is the kind that awakens the soul and makes us reach for more, that plants a fire in our hearts and brings peace to our minds. And that's what you've given me. That's what I'd hoped to give you forever","['love', 'nicholas-sparks', 'romance', 'the-notebook ']"
"love,romance","Some women choose to follow men, and some women choose to follow their dreams. If you're wondering which way to go, remember that your career will never wake up and tell you that it doesn't love you anymore.","['love', 'romance', 'work ']"
romance,"And I'm suppose to sit by while you date boys and fall in love with someone else, get married...?""His voice tightened. ""And meanwhile, I'll die a little bit more every day, watching.","['mortal-instruments', 'romance', 'teen-fantasy ']"
"love,romance","I heard what you said. I’m not the silly romantic you think. I don’t want the heavens or the shooting stars. I don’t want gemstones or gold. I have those things already. I want…a steady hand. A kind soul. I want to fall asleep, and wake, knowing my heart is safe. I want to love, and be loved.","['love', 'romance ']"
"love,romance",Any time not spent on love is wasted.,"['Time', 'Wasted', 'Spent']"
"love,romance","They didn’t agree on much. In fact, they didn’t agree on anything. They fought all the time and challenged each other ever day. But despite their differences, they had one important thing in common. They were crazy about each other.","['dear-john', 'love', 'nicholas-sparks', 'romance', 'the-notebook ']"
"love,romance",The very essence of romance is uncertainty.,"['love', 'romance ']"
"love,romance","I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.","['love', 'romance ']"
romance,"If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.","['music', 'romance', 'unrequited-love ']"
"humor,romance",Only a true best friend can protect you from your immortal enemies.,"['friendship', 'humor', 'romance ']"
"love,romance","True love is rare, and it's the only thing that gives life real meaning.","['love', 'romance ']"
"love,romance",When love is not madness it is not love.,"['love', 'romance ']"
"life,love,romance","If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.","['life', 'love', 'romance ']"
"love,inspiration,romance","I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.","['cry', 'inspirational', 'joke', 'love', 'romance', 'smile ']"
"love,romance","I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.","['love', 'romance ']"
"humor,romance",Say 'provoking' again. Your mouth looks provocative when you do.,"['fallen-anger', 'humor', 'nephlim', 'romance ']"
"love,romance","It isn't possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal.","['love', 'poets', 'romance ']"
"love,humor,romance,funny","If loving someone is putting them in a straitjacket and kicking them down a flight of stairs, then yes, I have loved a few people.","['absurd', 'crazy', 'funny', 'funny-and-random', 'humor', 'love', 'passion', 'romance', 'strange ']"
"humor,romance","You here to finish me off, Sweetheart?","['humor', 'hunger-games', 'katniss', 'mellark', 'peeta', 'romance ']"
romance,Every great love starts with a great story...,"['romance', 'storytelling ']"
"love,romance",Never close your lips to those whom you have already opened your heart.,"['kissing', 'love', 'romance ']"
romance,"I stood still, vision blurring, and in that moment, I heard my heart break. It was a small, clean sound, like the snapping of a flower's stem.","['claire-fraser', 'historical-fiction', 'romance', 'scotland', 'time-travel ']"
