0,1,2
writing,"Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.","['freedom', 'women', 'writing ']"
"humor,writing",Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.,"['humor', 'writing ']"
writing,"We write to taste life twice, in the moment and in retrospect.","['anais-nin', 'qoutes-on-writing', 'writing ']"
writing,"One day I will find the right words, and they will be simple.","['dharma', 'simplicity', 'writing ']"
"inspiration,writing",Fantasy is hardly an escape from reality. It's a way of understanding it.,"['fantasy', 'inspirational', 'writing ']"
"writing,inspiration",You never have to change anything you got up in the middle of the night to write.,"['imagination', 'inspiration', 'writing ']"
writing,"And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.",['writing ']
writing,"No tears in the writer, no tears in the reader. No surprise in the writer, no surprise in the reader.","['reading', 'writing ']"
writing,The difference between the right word and the almost right word is the difference between lightning and a lightning bug.,['writing ']
writing,"Read, read, read. Read everything -- trash, classics, good and bad, and see how they do it. Just like a carpenter who works as an apprentice and studies the master. Read! You'll absorb it.Then write. If it's good, you'll find out. If it's not, throw it out of the window.","['reading', 'writing ']"
"writing,books","Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.","['books', 'morality', 'reading', 'writing ']"
writing,You must stay drunk on writing so reality cannot destroy you.,['writing ']
writing,The road to hell is paved with adverbs.,['writing ']
writing,Fiction is the truth inside the lie.,['writing ']
writing,Don't tell me the moon is shining; show me the glint of light on broken glass.,"['broken-glass', 'glass', 'moon', 'moonshine', 'show-don-t-tell', 'writing ']"
writing,Writing is a socially acceptable form of schizophrenia.,['writing ']
writing,Words can be like X-rays if you use them properly -- they’ll go through anything. You read and you’re pierced.,"['reading', 'words', 'writing ']"
"writing,books","After nourishment, shelter and companionship, stories are the thing we need most in the world.","['books', 'needs', 'stories', 'storytelling', 'writing ']"
writing,There is no real ending. It’s just the place where you stop the story.,"['endings', 'happy-endings', 'writing ']"
"humor,writing",History will be kind to me for I intend to write it.,"['history', 'humor', 'writing ']"
writing,How vain it is to sit down to write when you have not stood up to live.,['writing ']
writing,"Stories may well be lies, but they are good lies that say true things, and which can sometimes pay the rent.",['writing ']
writing,The scariest moment is always just before you start.,['writing ']
"inspiration,writing","Start writing, no matter what. The water does not flow until the faucet is turned on.","['inspirational', 'writing ']"
writing,We have to continually be jumping off cliffs and developing our wings on the way down.,"['creativity', 'invention', 'quip', 'wings', 'writing ']"
writing,"I can shake off everything as I write; my sorrows disappear, my courage is reborn.",['writing ']
writing,"There are three rules for writing a novel. Unfortunately, no one knows what they are.",['writing ']
writing,"If you want to be a writer, you must do two things above all others: read a lot and write a lot.",['writing ']
